Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
1        0.1941        0        1        2850231.9336    1.2041       100    223.6674    -28.512    86.4448    3.55       408.3806      28.4647    0
1.5        0.1953        0        1        2841672.8516    1.2061       100    222.51    161.229    87.8942    2.098       408.387      28.4647    0
2        0.1969        0        1        2835178.9551    1.209       100    217.8676    149.834    88.4681    1.523       408.3968      28.4647    0
2.5        0.1991        0        1        2828697.998    1.2114       100    213.5658    -11.852    88.7536    1.071       408.5464      28.4647    0
3        0.2018        0        1        2822204.1016    1.214       100    56.5431    -168.721    88.679    0.685       408.5018      28.4647    0
3.5        0.2049        0        1        2815723.1445    1.2168       100    80.1029    -144.261    89.706    -0.665       408.3736      28.4648    0
4        0.2086        0        1        2809229.248    1.2197       100    219.5561    -4.081    88.4768    0.436       408.247      28.4648    0
4.5        0.2127        0        1        2802748.291    1.2226       100    221.0809    -2.256    87.1353    1.766       408.1641      28.4648    0
5        0.2175        0        1        2796254.3945    1.2255       100    220.7618    -2.787    86.4571    2.452       408.1134      28.4648    0
5.9        0.2271        0        1        2785634.2773    1.2291       100    220.4795    -4.249    85.9753    3.195       407.8354      28.465    0
6.48        0.2345        0        1        2777853.2715    1.2319       100    221.6521    -6.834    84.4774    5.288       407.842      28.465    0
7.06        0.2425        0        1        2770344.4824    1.236       100    221.863    196.287    84.8739    5.061       407.9917      28.4649    0
7.64        0.2514        0        1        2762795.6543    1.2418       100    221.8123    185.252    85.9337    3.996       408.1065      28.4649    0
8.22        0.2611        0        1        2755254.8828    1.2455       100    221.5478    -16.981    86.5778    3.418       408.1584      28.4649    0
8.8        0.2715        0        1        2747746.8262    1.2489       100    221.1008    -2.048    86.7831    3.188       408.1933      28.4649    0
9.38        0.2828        0.01        1        2740221.4355    1.2531       100    220.7186    -36.526    86.8737    3.118       408.2459      28.4649    0
9.96        0.2949        0.01        1        2732678.4668    1.2557       100    220.4743    198.095    87.0096    2.967       408.3156      28.4649    0
10.52        0.3079        0.01        1        2725168.457    1.2581       100    220.3468    191.26    87.18    2.785       408.395      28.4649    0
11.1        0.3217        0.01        1        2717666.5039    1.2623       100    220.1924    190.87    87.3447    2.622       408.4818      28.4649    0
11.68        0.3364        0.01        1        2710135.2539    1.2657       100    219.955    194.387    87.4858    2.486       408.5716      28.4649    0
12.28        0.352        0.01        1        2702613.5254    1.2693       100    219.7126    201.123    87.601    2.373       408.6674      28.4649    0
12.84        0.3684        0.01        1        2695087.1582    1.2742       100    219.5266    203.957    87.7029    2.272       408.7694      28.4649    0.0001
13.42        0.3858        0.01        1        2687557.1289    1.2791       100    219.3865    204.196    87.7962    2.181       408.8816      28.4649    0.0001
14        0.4041        0.01        1        2680019.2871    1.2833       100    219.2129    205.217    87.8837    2.096       409.0004      28.4649    0.0001
