Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.6        0.128        0        1        2784681.8848    1.2278       100    239.389    -77.421    44.3278    45.61       462.3497      5.2394    0.9966
1.06        0.1287        0        1        2778188.2324    1.2312       100    244.3677    194.236    75.8523    13.921       462.3951      5.2394    0.9966
1.52        0.13        0        1        2772225.5859    1.2337       100    247.1076    183.893    83.4656    6.281       462.5315      5.2394    0.9966
1.98        0.1317        0        1        2766246.3379    1.2382       100    310.9447    137.856    87.3376    2.258       462.6278      5.2394    0.9966
2.44        0.1339        0        1        2760251.4648    1.242       100    348.6557    154.836    87.5866    1.486       462.6172      5.2394    0.9966
2.9        0.1367        0        1        2754284.9121    1.244       100    310.6777    111.854    89.1368    -0.373       462.5429      5.2394    0.9966
3.36        0.1399        0        1        2748315.6738    1.2476       100    225.8097    25.629    88.1537    0.535       462.4656      5.2395    0.9966
3.82        0.1436        0        1        2742347.4121    1.2483       100    216.8048    17.043    86.9492    1.783       462.4182      5.2397    0.9966
4.28        0.1479        0        1        2736406.4941    1.2488       100    214.1406    15.39    86.3867    2.399       462.4011      5.2398    0.9966
5.06        0.1563        0        1        2727321.7773    1.2568       100    210.9486    7.871    86.0408    3.391       462.2937      5.2411    0.9966
5.62        0.1633        0        1        2720027.5879    1.2621       100    204.8904    193.211    84.1669    5.262       462.3063      5.2408    0.9966
6.18        0.171        0        1        2712780.5176    1.2635       100    208.1523    190.328    85.1746    3.634       462.4322      5.24    0.9966
6.74        0.1795        0        1        2705535.1562    1.2663       100    213.8966    194.566    86.9378    1.771       462.5909      5.2396    0.9966
7.3        0.1889        0        1        2698241.9434    1.2702       100    221.1661    202.47    88.1925    0.603       462.7003      5.2394    0.9966
7.84        0.1988        0        1        2690965.0879    1.273       100    231.0891    213.346    88.8316    0.003       462.7841      5.2394    0.9966
8.38        0.2094        0        1        2683961.1816    1.2786       100    245.8477    228.046    89.1515    -0.357       462.8703      5.2393    0.9966
8.92        0.2208        0        1        2676954.5898    1.2816       100    272.0854    252.509    89.3449    -0.507       463.0006      5.2394    0.9966
