Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.88        0.4021        0        1        2890918.9453    1.19       100    79.4144    -258.911    84.1707    5.728       407.8551      28.6443    0.9973
1.38        0.4039        0        1        2883134.0332    1.1926       100    38.5905    14.129    87.3793    1.711       408.0306      28.6444    0.9973
1.88        0.4059        0        1        2876396.4844    1.1944       100    24.8643    -11.864    73.1576    16.497       408.3901      28.6448    0.9973
2.38        0.4082        0        1        2869919.1895    1.1974       100    26.6872    -164.12    72.8038    16.934       408.4036      28.6447    0.9973
2.88        0.4109        0        1        2863426.0254    1.2001       100    30.79    -173.686    76.3551    12.907       408.3646      28.6446    0.9973
3.38        0.4141        0        1        2856944.3359    1.2029       100    31.1656    -174.012    79.615    9.33       408.2552      28.6445    0.9973
3.88        0.4178        0        1        2850432.373    1.2082       100    30.6325    -172.192    82.9234    5.893       408.1551      28.6445    0.9973
4.38        0.422        0        1        2843930.1758    1.2109       100    30.5312    -168.534    85.4132    3.381       408.1035      28.6444    0.9973
4.88        0.4267        0        1        2837467.2852    1.2121       100    33.2746    -162.279    87.0318    1.763       408.0993      28.6444    0.9973
5.76        0.4362        0        1        2827096.9238    1.2165       100    52.192    -139.766    88.52    0.521       408.0443      28.6444    0.9973
6.34        0.4434        0        1        2819576.9043    1.2211       100    155.0994    -31.229    88.5745    1.078       408.0736      28.6444    0.9973
6.9        0.4513        0        1        2812029.541    1.2261       100    160.8333    83.556    88.3882    1.564       408.1683      28.6444    0.9973
7.48        0.4599        0        1        2804487.0605    1.2289       100    137.845    93.691    88.9774    0.964       408.245      28.6444    0.9973
8.06        0.4693        0        1        2796965.332    1.2323       100    116.8478    -37.903    89.1858    0.786       408.2909      28.6444    0.9973
8.64        0.4791        0        1        2789439.209    1.2356       100    121.5676    -55.796    89.2477    0.695       408.3286      28.6444    0.9973
9.2        0.4896        0        1        2782171.3867    1.2379       100    134.5044    -28.709    89.2475    0.712       408.3773      28.6444    0.9973
9.76        0.5009        0        1        2774909.4238    1.2411       100    142.3344    27.435    89.2372    0.737       408.4407      28.6444    0.9973
10.32        0.5129        0        1        2767637.6953    1.2446       100    144.7528    65.406    89.2546    0.717       408.5113      28.6444    0.9973
10.88        0.5256        0        1        2760378.1738    1.2485       100    145.7643    72.073    89.2834    0.688       408.5855      28.6444    0.9973
11.44        0.5391        0        1        2753106.2012    1.2515       100    147.3208    66.123    89.3105    0.664       408.6628      28.6444    0.9973
12        0.5534        0        1        2745845.459    1.2557       100    149.5797    60.646    89.3271    0.649       408.7465      28.6444    0.9973
12.56        0.5685        0        1        2738576.416    1.2585       100    151.9841    62.078    89.3377    0.638       408.8348      28.6444    0.9973
13.12        0.5843        0        1        2731327.1484    1.2619       100    154.1941    67.514    89.3461    0.631       408.9311      28.6444    0.9973
13.68        0.601        0        1        2724063.7207    1.2654       100    155.9648    69.954    89.3572    0.622       409.0322      28.6444    0.9973
14.24        0.6185        0        1        2716814.9414    1.2683       100    157.6996    68.275    89.3691    0.612       409.1405      28.6444    0.9973
14.8        0.6368        0        1        2709534.9121    1.2741       100    159.4691    63.113    89.3811    0.601       409.2579      28.6444    0.9973
15.36        0.6559        0        1        2702244.1406    1.2785       100    161.1974    58.251    89.3918    0.59       409.3804      28.6444    0.9973
15.92        0.676        0        1        2694993.1641    1.2818       100    162.7518    54.541    89.399    0.584       409.511      28.6444    0.9973
16.48        0.6968        0        1        2687732.4219    1.2863       100    164.1253    54.541    89.4047    0.582       409.6493      28.6444    0.9973
17.04        0.7186        0        1        2680453.3691    1.2896       100    165.591    49.376    89.4125    0.576       409.7954      28.6444    0.9973
