Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.62        0.1498        0        1        2911092.5293    1.1738       100    192.4551    -125.305    37.5815    52.281       407.1745      28.7512    0.9974
1.08        0.1505        0        1        2904618.6523    1.1766       100    199.4099    196.034    69.0333    20.69       407.1748      28.7511    0.9974
1.52        0.1514        0        1        2898650.3906    1.1795       100    205.0594    190.352    79.9599    9.842       407.2499      28.7511    0.9973
1.98        0.1528        0        1        2892681.8848    1.1823       100    243.7481    51.004    88.4236    1.201       407.3076      28.7511    0.9973
2.44        0.1545        0        1        2886713.8672    1.1855       100    326.6832    129.916    89.4437    -0.34       407.2759      28.7511    0.9973
2.9        0.1566        0        1        2880757.3242    1.1873       100    200.6488    2.097    87.6892    1.165       407.2031      28.7512    0.9974
3.36        0.1591        0        1        2874795.8984    1.19       100    200.8449    2.131    85.4887    3.31       407.1395      28.7512    0.9974
3.82        0.162        0        1        2868822.0215    1.1925       100    202.0719    4.275    84.4565    4.35       407.1025      28.7512    0.9974
4.28        0.1653        0        1        2862859.6191    1.195       100    202.2567    5.517    84.0976    4.707       407.0846      28.7513    0.9974
5.14        0.1725        0        1        2853514.4043    1.2001       100    201.3129    8.22    83.8203    5.106       407.0274      28.7514    0.9974
5.76        0.1787        0        1        2845467.5293    1.2041       100    202.0607    12.144    83.6318    5.253       407.0418      28.7515    0.9974
6.38        0.1856        0        1        2837428.7109    1.2072       100    200.5258    11.735    83.7103    5.116       407.0535      28.7516    0.9974
7        0.1933        0        1        2829367.6758    1.2117       100    199.1147    10.536    83.6225    5.158       407.0629      28.7517    0.9974
7.62        0.2018        0.01        1        2821320.5566    1.2155       100    198.1748    9.599    83.5207    5.222       407.0737      28.7519    0.9974
8.22        0.2108        0.01        1        2813293.9453    1.2181       100    197.4854    8.745    83.4237    5.481       407.0676      28.7523    0.9974
8.8        0.2202        0.01        1        2805499.0234    1.2226       100    195.9106    5.822    82.642    6.903       407.0726      28.7525    0.9974
9.4        0.2307        0.01        1        2797705.5664    1.2255       100    195.8079    167.963    82.5858    7.337       407.1325      28.7523    0.9974
10        0.242        0.01        1        2789933.1055    1.2284       100    196.6604    169.538    83.5247    6.304       407.2302      28.7521    0.9974
10.6        0.2541        0.01        1        2782151.6113    1.2333       100    196.7951    153.595    84.3678    5.566       407.3162      28.7521    0.9974
11.2        0.267        0.01        1        2774351.0742    1.2363       100    196.5505    36.536    84.7963    5.186       407.3785      28.7521    0.9974
11.78        0.2803        0.01        1        2766821.0449    1.2405       100    196.6061    -7.392    85.0082    4.987       407.4383      28.7521    0.9974
12.36        0.2943        0.02        1        2759279.7852    1.2452       100    196.8993    172.447    85.2233    4.742       407.5127      28.7521    0.9974
12.94        0.3092        0.02        1        2751760.498    1.2484       100    197.1267    162.091    85.4788    4.465       407.605      28.7521    0.9974
13.52        0.3249        0.02        1        2744230.957    1.2516       100    197.1463    151.423    85.7446    4.2       407.7062      28.7521    0.9974
14.1        0.3414        0.02        1        2736722.6562    1.2544       100    197.0223    140.675    85.9787    3.976       407.8137      28.7521    0.9974
14.68        0.3587        0.02        1        2729198.2422    1.2581       100    196.8625    132.74    86.1793    3.782       407.9266      28.7521    0.9974
15.26        0.3769        0.02        1        2721672.6074    1.2618       100    196.7166    130.223    86.3582    3.607       408.0471      28.7521    0.9974
15.84        0.3959        0.02        1        2714147.2168    1.2661       100    196.5513    126.502    86.5231    3.445       408.1769      28.752    0.9974
16.42        0.4159        0.02        1        2706621.8262    1.2704       100    196.3763    113.404    86.6832    3.289       408.314      28.752    0.9974
