Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.62        0.1284        0        1        2923216.7969    1.1678       100    226.5759    183.195    35.4177    54.417       462.4528      5.2394    0.9966
1.08        0.129        0        1        2916479.0039    1.1711       100    232.7255    179.269    76.1925    13.534       462.5236      5.2394    0.9966
1.54        0.1299        0        1        2910506.8359    1.1747       100    236.1595    162.536    85.3002    4.528       462.6475      5.2394    0.9966
2        0.1312        0        1        2904523.4375    1.1784       100    0.1412    -187.129    86.5537    2.947       462.6762      5.2394    0.9966
2.46        0.1329        0        1        2898560.791    1.1809       100    7.4057    -189.456    87.6121    1.493       462.6211      5.2394    0.9966
2.92        0.1349        0        1        2892604.9805    1.1831       100    245.7569    46.8    89.316    -0.398       462.557      5.2394    0.9966
3.38        0.1373        0        1        2886637.6953    1.1849       100    214.7662    15.671    87.6372    1.206       462.5108      5.2395    0.9966
3.84        0.1401        0        1        2880682.8613    1.186       100    210.9625    12.176    86.6952    2.108       462.4797      5.2396    0.9966
4.3        0.1433        0        1        2874718.0176    1.1898       100    208.6631    10.005    86.1464    2.627       462.4545      5.2397    0.9966
5.06        0.1496        0        1        2865617.6758    1.1964       100    206.3571    13.71    85.4919    3.885       462.2683      5.2409    0.9966
5.64        0.1549        0        1        2858351.5625    1.199       100    203.9757    171.656    82.6676    6.904       462.3415      5.2406    0.9966
6.2        0.1607        0        1        2851085.6934    1.2016       100    203.9268    179.514    84.3104    4.767       462.4753      5.24    0.9966
6.76        0.1672        0        1        2843819.8242    1.2044       100    203.9301    182.803    86.239    2.675       462.57      5.2397    0.9966
7.32        0.1743        0        1        2836553.7109    1.2075       100    205.4175    186.235    87.4425    1.392       462.6375      5.2395    0.9966
7.86        0.1817        0        1        2829274.9023    1.2116       100    209.625    191.147    88.2708    0.498       462.7076      5.2394    0.9966
8.4        0.1898        0        1        2822264.8926    1.2142       100    218.3463    199.995    88.9441    -0.223       462.7829      5.2393    0.9966
8.94        0.1984        0        1        2815290.0391    1.2162       100    244.164    225.805    89.4824    -0.791       462.8655      5.2393    0.9966
9.48        0.2077        0        1        2808284.4238    1.2198       100    316.7077    298.366    89.5782    -0.902       462.9529      5.2394    0.9966
10.02        0.2176        0        1        2801280.2734    1.2216       100    350.3111    331.929    89.2139    -0.397       463.0847      5.2398    0.9966
10.54        0.2278        0        1        2794525.1465    1.2268       100    5.3036    -11.449    88.3742    0.958       463.195      5.2401    0.9966
11.06        0.2385        0        1        2787749.5117    1.2318       100    8.3261    2.797    87.9824    1.79       463.2156      5.24    0.9966
11.58        0.2498        0        1        2781007.0801    1.2341       100    5.9074    -324.637    88.221    1.705       463.227      5.2399    0.9966
12.1        0.2618        0        1        2774254.8828    1.2382       100    2.2164    -304.826    88.4641    1.496       463.269      5.2399    0.9966
12.62        0.2744        0        1        2767518.0664    1.2393       100    0.5573    -296.038    88.5717    1.407       463.3321      5.2399    0.9966
13.14        0.2876        0        1        2760780.5176    1.2419       100    0.4731    -259.424    88.624    1.358       463.4039      5.2399    0.9966
13.66        0.3015        0        1        2754039.3066    1.2449       100    0.7248    -235.518    88.6708    1.303       463.4774      5.2399    0.9966
14.18        0.316        0        1        2747306.6406    1.2478       100    0.7781    -231.524    88.7216    1.244       463.5557      5.2399    0.9966
14.7        0.3312        0        1        2740539.0625    1.2538       100    0.7268    -233.736    88.7741    1.187       463.6393      5.2399    0.9966
15.22        0.3471        0        1        2733772.7051    1.2572       100    0.6735    -237.527    88.8233    1.137       463.7257      5.2399    0.9966
15.74        0.3636        0        1        2727049.3164    1.2597       100    0.6701    -241.793    88.8672    1.094       463.8175      5.2399    0.9966
16.26        0.3808        0        1        2720318.6035    1.2635       100    0.7473    -246.378    88.9086    1.054       463.9175      5.2399    0.9966
16.78        0.3988        0        1        2713545.6543    1.2669       100    0.8462    -251.219    88.9494    1.017       464.0245      5.24    0.9966
17.3        0.4174        0        1        2706785.8887    1.2702       100    1.1044    -256.475    88.9879    0.981       464.1356      5.24    0.9966
17.82        0.4368        0        1        2700055.1758    1.2748       100    1.4617    -262.356    89.0243    0.947       464.2532      5.24    0.9966
18.34        0.4569        0        1        2693311.0352    1.2784       100    1.8143    -268.529    89.0596    0.915       464.3786      5.24    0.9966
18.86        0.4778        0        1        2686551.0254    1.2813       100    2.2781    -274.845    89.0944    0.883       464.5104      5.24    0.9966
19.38        0.4994        0        1        2679800.0488    1.2846       100    2.8591    -280.543    89.1279    0.852       464.646      5.24    0.9966
19.9        0.5217        0        1        2673083.4961    1.2876       100    3.4806    -284.143    89.1597    0.822       464.7889      5.24    0.9966
20.42        0.5448        0        1        2666339.8438    1.292       100    4.0284    -287.809    89.1908    0.793       464.9409      5.24    0.9966
20.94        0.5687        0        1        2659577.1484    1.2952       100    4.5904    -291.203    89.221    0.764       465.0988      5.24    0.9966
21.46        0.5934        0        1        2652829.3457    1.2996       100    5.1829    -293.397    89.2493    0.738       465.264      5.2399    0.9966
21.98        0.6189        0        1        2646082.5195    1.3048       100    5.8577    -295.312    89.2762    0.712       465.4363      5.2399    0.9966
22.5        0.6452        0.01        1        2639335.6934    1.3081       100    6.528    -296.44    89.302    0.688       465.6156      5.2399    0.9966
23.02        0.6723        0.01        1        2632588.623    1.3116       100    7.1655    -297.518    89.3265    0.665       465.8026      5.2399    0.9966
23.54        0.7002        0.01        1        2625843.9941    1.3151       100    7.8168    -295.126    89.3498    0.643       465.9958      5.2399    0.9966
24.06        0.729        0.01        1        2619113.5254    1.3186       100    8.5126    -295.707    89.3721    0.621       466.1988      5.2399    0.9966
24.58        0.7586        0.01        1        2612362.0605    1.323       100    9.189    -300.049    89.3934    0.601       466.4092      5.2399    0.9966
25.1        0.7891        0.01        1        2605620.3613    1.3267       100    9.851    -306.098    89.4135    0.582       466.6307      5.2399    0.9966
25.62        0.8205        0.01        1        2598858.8867    1.333       100    10.6155    -301.285    89.4324    0.563       466.8634      5.2399    0.9966
26.14        0.8528        0.01        1        2592087.1582    1.338       100    11.3461    -293.409    89.4509    0.545       467.0991      5.2399    0.9966
26.66        0.8859        0.01        1        2585357.9102    1.34       100    12.0403    -295.252    89.4684    0.528       467.3419      5.2399    0.9966
