Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.92        0.1451        0        1        2889721.1914    1.1857       100    201.4304    154.626    86.0288    3.898       407.9555      28.5844    0.9973
1.42        0.1461        0        1        2881420.4102    1.1876       100    185.5692    145.132    87.8106    2.076       407.9881      28.5844    0.9973
1.92        0.1476        0        1        2874663.3301    1.1913       100    157.9289    99.073    88.6822    1.24       408.0181      28.5844    0.9973
2.42        0.1495        0        1        2868166.748    1.1944       100    137.98    -31.203    88.9306    0.881       408.0834      28.5844    0.9973
2.92        0.1519        0        1        2861679.1992    1.1967       100    100.1589    -91.781    88.6612    0.742       408.1481      28.5844    0.9973
3.42        0.1548        0        1        2855191.6504    1.1998       100    104.1335    -92.832    88.3558    0.66       408.11      28.5844    0.9973
3.92        0.1582        0        1        2848704.3457    1.2017       100    155.1689    -42.725    87.938    0.871       408.0406      28.5844    0.9973
4.42        0.1621        0        1        2842216.7969    1.2044       100    178.6734    -18.854    86.5571    2.224       407.9924      28.5845    0.9973
4.92        0.1664        0        1        2835733.8867    1.2067       100    184.8803    -12.13    85.5204    3.311       407.9777      28.5846    0.9973
5.82        0.1755        0        1        2825106.6895    1.2121       100    187.5094    -1.642    84.8687    4.523       407.8038      28.585    0.9973
6.42        0.1825        0        1        2817582.7637    1.2156       100    192.3521    157.849    82.5166    6.986       407.9049      28.5851    0.9973
7.02        0.1903        0        1        2809784.4238    1.221       100    189.2332    168.762    83.0548    5.716       408.1123      28.5848    0.9973
7.62        0.1988        0.01        1        2801974.6094    1.2244       100    183.8646    167.02    85.203    3.399       408.2621      28.5845    0.9973
8.2        0.2078        0.01        1        2793947.7539    1.2268       100    178.1751    162.464    87.0402    1.832       408.4191      28.5844    0.9973
8.76        0.2176        0.01        1        2786683.8379    1.2307       100    160.7379    146.636    88.558    1.012       408.5033      28.5843    0.9973
9.34        0.228        0.01        1        2779141.8457    1.2335       100    144.1505    -47.537    89.1053    0.754       408.5016      28.5844    0.9973
