Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.9        0.145        0        1        2889727.7832    1.186       100    200.1162    157.221    85.8358    4.096       407.9547      28.5844    0.9973
1.4        0.146        0        1        2881666.2598    1.1884       100    185.9945    148.26    87.753    2.137       407.9853      28.5844    0.9973
1.9        0.1475        0        1        2874939.9414    1.1894       100    160.4534    111.252    88.6737    1.246       408.0102      28.5844    0.9973
2.4        0.1494        0        1        2868471.9238    1.192       100    112.8591    -57.928    89.3392    0.414       408.0638      28.5844    0.9973
2.9        0.1517        0        1        2861970.7031    1.1952       100    121.5184    -67.942    88.6964    0.647       408.1408      28.5844    0.9973
3.4        0.1546        0        1        2855476.8066    1.1978       100    132.8086    -63.532    87.8885    1.119       408.1101      28.5844    0.9973
3.9        0.1579        0        1        2848982.4219    1.203       100    163.2458    -35.353    86.9507    1.897       408.0385      28.5845    0.9973
4.4        0.1618        0        1        2842481.9336    1.206       100    179.0443    -19.697    85.7719    3.058       407.9877      28.5845    0.9973
4.9        0.1661        0        1        2836015.3809    1.2064       100    184.7451    -13.216    85.0354    3.828       407.9675      28.5846    0.9973
5.8        0.1752        0        1        2825390.3809    1.2114       100    187.7356    -1.285    84.5535    4.827       407.7929      28.585    0.9973
6.4        0.1821        0        1        2817869.1406    1.2161       100    192.2473    156.764    82.1901    7.322       407.8954      28.5851    0.9973
7        0.1898        0.01        1        2810078.125    1.2198       100    189.1341    168.484    82.7002    6.07       408.1024      28.5848    0.9973
7.6        0.1983        0.01        1        2802299.0723    1.2232       100    183.9416    167.101    84.8823    3.721       408.2559      28.5846    0.9973
8.18        0.2076        0.01        1        2794481.6895    1.2275       100    178.5773    162.561    86.7943    1.939       408.3406      28.5845    0.9973
8.78        0.2173        0.01        1        2786439.4531    1.2305       100    175.0545    158.656    87.7407    1.262       408.4888      28.5844    0.9973
9.34        0.2278        0.01        1        2779203.6133    1.2332       100    157.3455    140.786    88.709    0.878       408.5834      28.5843    0.9973
9.92        0.239        0.01        1        2771661.1328    1.2382       100    143.0434    -36.947    89.069    0.882       408.6042      28.5844    0.9973
10.5        0.2511        0.01        1        2764113.7695    1.2404       100    162.0577    -25.42    88.7388    1.127       408.6303      28.5844    0.9973
11.08        0.2639        0.01        1        2756605.4688    1.2444       100    171.2733    56.921    88.3318    1.651       408.6973      28.5845    0.9973
11.66        0.277        0.01        1        2749082.7637    1.2487       100    172.5986    149.37    88.2729    1.616       408.7945      28.5845    0.9973
12.22        0.2909        0.01        1        2741816.8945    1.2507       100    170.9386    148.621    88.4328    1.446       408.8979      28.5844    0.9973
12.78        0.3056        0.01        1        2734549.0723    1.2546       100    168.6851    141.989    88.5991    1.331       408.9988      28.5844    0.9973
13.34        0.321        0.01        1        2727265.8691    1.2595       100    167.8206    121.088    88.6761    1.303       409.0947      28.5844    0.9973
13.9        0.3373        0.01        1        2720010.498    1.2623       100    168.4701    52.669    88.6844    1.306       409.1921      28.5844    0.9973
