Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
1.04        0.1934        0        1        2844538.5742    1.2035       100    196.9647    188.088    87.9992    1.967       408.4197      28.4647    0
1.54        0.1945        0        1        2835490.2344    1.2065       100    200.0806    196.774    89.0925    0.872       408.4196      28.4647    0
2.04        0.1963        0        1        2828990.7227    1.2106       100    211.5213    206.059    89.3834    0.594       408.4213      28.4647    0
2.56        0.1984        0        1        2822495.6055    1.2135       100    218.0528    -8.216    89.4466    0.256       408.6922      28.4648    0
3.08        0.2012        0        1        2815742.1875    1.218       100    47.5105    -177.624    86.5102    2.479       408.423      28.4647    0
3.6        0.2046        0        1        2808981.6895    1.2214       100    226.6424    3.12    89.0211    -0.149       408.1633      28.4648    0
4.12        0.2085        0        1        2802249.0234    1.2228       100    225.0623    3.193    86.2002    2.82       408.073      28.4648    0
4.64        0.213        0        1        2795507.8125    1.2257       100    223.1797    1.701    85.5782    3.546       408.0852      28.4648    0
5.16        0.2181        0        1        2788751.4648    1.2289       100    221.3156    -1.342    85.8677    3.22       408.0964      28.4648    0
6.06        0.2284        0        1        2777851.8066    1.2335       100    220.3707    -4.351    86.0247    3.15       407.8212      28.465    0
6.64        0.236        0        1        2770076.9043    1.236       100    221.8972    -5.268    84.5061    5.238       407.7757      28.465    0
7.22        0.2443        0        1        2762561.7676    1.2388       100    222.2276    182.876    84.5736    5.299       407.9265      28.465    0
7.8        0.2535        0        1        2755043.9453    1.2433       100    222.1291    177.519    85.6257    4.212       408.081      28.4649    0
8.38        0.2634        0        1        2747485.5957    1.2491       100    221.7661    147.192    86.465    3.507       408.1664      28.4649    0
8.96        0.2742        0.01        1        2739960.2051    1.2523       100    221.139    9.787    86.8077    3.115       408.1947      28.4649    0
9.54        0.2858        0.01        1        2732430.4199    1.2573       100    220.5677    3.687    86.8315    3.103       408.2263      28.4649    0
10.12        0.2983        0.01        1        2724917.4805    1.2597       100    220.2761    -3.773    86.8629    3.132       408.2876      28.465    0
10.7        0.3116        0.01        1        2717398.9258    1.2621       100    220.2355    178.084    87.0023    2.961       408.3765      28.465    0
11.28        0.3257        0.01        1        2709873.5352    1.2664       100    220.1009    172.751    87.1974    2.763       408.4756      28.4649    0
11.86        0.3408        0.01        1        2702348.1445    1.2698       100    219.8621    163.601    87.377    2.6       408.5739      28.4649    0
12.44        0.3567        0.01        1        2694822.7539    1.2746       100    219.4669    161.109    87.5036    2.487       408.6717      28.465    0
13.02        0.3735        0.01        1        2687300.5371    1.2781       100    219.1422    188.025    87.5968    2.396       408.7745      28.465    0.0001
13.6        0.3913        0.01        1        2679791.748    1.2817       100    218.9363    192.025    87.6831    2.305       408.8874      28.465    0.0001
14.18        0.41        0.01        1        2672251.4648    1.2866       100    218.7957    184.256    87.7687    2.215       409.0117      28.465    0.0001
14.76        0.4296        0.01        1        2664720.9473    1.2906       100    218.6102    180.812    87.8538    2.13       409.1454      28.465    0.0001
15.34        0.4502        0.01        1        2657195.5566    1.2952       100    218.3586    183.66    87.9333    2.054       409.286      28.465    0.0001
15.92        0.4717        0.01        1        2649668.9453    1.2998       100    218.0906    189.109    88.0006    1.984       409.4356      28.465    0.0001
16.5        0.4943        0.01        1        2642125.9766    1.3038       100    217.8478    190.383    88.062    1.918       409.5945      28.465    0.0001
17.08        0.5178        0.01        1        2634610.8398    1.307       100    217.6254    190.033    88.1225    1.855       409.7631      28.465    0.0001
17.66        0.5424        0.02        1        2627093.75    1.3113       100    217.3969    190.733    88.1811    1.798       409.9433      28.465    0.0001
18.24        0.5679        0.02        1        2619568.3594    1.3154       100    217.1754    191.511    88.2374    1.745       410.1329      28.465    0.0001
18.82        0.5945        0.02        1        2612042.9688    1.3191       100    216.9196    192.941    88.287    1.699       410.3329      28.465    0.0001
19.4        0.6222        0.02        1        2604517.5781    1.3244       100    216.6587    195.542    88.333    1.654       410.5439      28.465    0.0001
19.98        0.651        0.02        1        2596992.1875    1.3289       100    216.3822    198.776    88.3753    1.613       410.7659      28.465    0.0001
20.56        0.6808        0.02        1        2589466.7969    1.3334       100    216.1248    199.624    88.4154    1.573       410.9995      28.465    0.0001
21.14        0.7117        0.02        1        2581948.2422    1.3371       100    215.8856    196.331    88.4541    1.536       411.2434      28.465    0.0001
21.72        0.7437        0.02        1        2574435.3027    1.3418       100    215.6385    193.341    88.4905    1.502       411.5039      28.465    0.0001
22.3        0.7769        0.02        1        2566905.5176    1.3462       100    215.3596    198.259    88.5263    1.467       411.775      28.465    0.0001
22.88        0.8112        0.02        1        2559381.5918    1.3514       100    215.0512    199.66    88.5578    1.435       412.0605      28.4651    0.0001
23.46        0.8467        0.02        1        2551857.666    1.3564       100    214.7757    203.202    88.5888    1.403       412.3605      28.4651    0.0001
24.04        0.8846        0.02        1        2544328.125    1.3615       100    214.5041    208.429    88.6203    1.372       412.6849      28.4651    0.0002
24.76        0.9305        0.03        1        2536549.0723    1.3675       100    214.2371    127.964    88.6511    1.296       412.9671      28.4651    0.0002
25.48        0.9795        0.03        1        2527173.0957    1.3745       100    218.1928    126.698    88.6226    0.6       413.1361      28.4651    0.0002
26.2        1.0304        0.03        1        2517831.7871    1.3808       100    224.1473    134.234    88.5188    -0.581       413.734      28.4651    0.0002
26.92        1.0832        0.03        1        2508485.5957    1.3861       100    219.2085    130.437    88.6319    -1.946       414.7482      28.4651    0.0002
27.68        1.141        0.03        1        2499180.6641    1.3922       100    201.4966    112.683    88.8922    -3.306       416.0396      28.4651    0.0002
28.42        1.1994        0.03        1        2489551.2695    1.3991       100    170.4191    81.039    89.014    -4.303       417.6476      28.4651    0.0002
29.18        1.2617        0.03        1        2479691.6504    1.4047       100    134.6388    45.148    88.6534    -4.137       419.4458      28.4651    0.0002
29.94        1.3262        0.03        1        2469856.6895    1.4126       100    117.5191    27.796    87.9991    -3.341       421.0767      28.4651    0.0003
30.7        1.3931        0.03        1        2459958.0078    1.421       100    110.5994    20.637    87.4526    -2.771       422.6301      28.4651    0.0003
31.44        1.4604        0.03        1        2450361.3281    1.4265       100    107.1268    17.416    86.9868    -2.401       424.2318      28.4651    0.0003
32.18        1.53        0.03        1        2440763.6719    1.4341       100    104.6099    15.37    86.5077    -1.978       425.9207      28.4651    0.0003
32.92        1.6019        0.03        1        2431173.0957    1.4409       100    102.4612    13.425    86.0223    -1.461       427.6409      28.4651    0.0003
33.66        1.6762        0.03        1        2421571.7773    1.4476       100    100.7214    11.462    85.5717    -0.953       429.3547      28.4651    0.0003
34.4        1.7528        0.04        1        2411970.2148    1.4546       100    99.5125    10.021    85.1699    -0.518       431.0892      28.4651    0.0003
35.14        1.8319        0.04        1        2402366.4551    1.4636       100    98.6623    9.18    84.7992    -0.136       432.8666      28.4651    0.0004
35.78        1.9023        0.04        1        2392748.0469    1.4702       100    97.9814    8.653    84.4514    0.202       434.379      28.4651    0.0004
36.42        1.9745        0.05        1        2384736.3281    1.4754       100    97.4984    8.438    84.191    0.278       435.8977      28.4651    0.0004
37.06        2.0486        0.06        1        2376431.3965    1.4832       100    97.0492    8.207    83.9572    0.204       437.5602      28.4651    0.0004
37.7        2.1246        0.06        1        2368115.2344    1.4896       100    96.5386    7.764    83.6838    0.191       439.3319      28.465    0.0004
38.32        2.2026        0.07        1        2359811.2793    1.4965       100    96.0147    7.117    83.3824    0.248       441.0982      28.465    0.0004
38.96        2.2826        0.08        1        2351506.1035    1.5053       100    95.5554    6.413    83.0867    0.277       442.986      28.465    0.0005
39.6        2.3645        0.09        1        2343183.8379    1.5118       100    95.1695    5.797    82.7925    0.28       444.9403      28.465    0.0005
40.24        2.4485        0.1        1        2334894.2871    1.5179       100    94.8512    5.382    82.4921    0.27       446.9773      28.465    0.0005
40.88        2.5345        0.11        1        2326595.7031    1.525       100    94.5809    5.134    82.1821    0.261       449.0925      28.465    0.0005
41.52        2.6225        0.12        1        2318309.5703    1.5312       100    94.3214    4.935    81.867    0.249       451.3073      28.465    0.0005
42.16        2.7127        0.14        1        2309989.7461    1.54       100    94.0522    4.64    81.5425    0.25       453.6201      28.465    0.0006
42.8        2.805        0.15        1        2301664.5508    1.5481       100    93.7911    4.279    81.2131    0.25       455.9926      28.4649    0.0006
43.44        2.8994        0.17        1        2293378.9062    1.5553       100    93.5633    3.95    80.8791    0.246       458.4584      28.4649    0.0006
44.08        2.9959        0.18        1        2285079.1016    1.5631       100    93.3685    3.704    80.5392    0.235       461.0031      28.4649    0.0006
44.72        3.0947        0.2        1        2276791.748    1.5686       100    93.196    3.528    80.1949    0.222       463.6618      28.4649    0.0007
45.36        3.1957        0.22        1        2268483.1543    1.5762       100    93.0293    3.365    79.8419    0.221       466.405      28.4649    0.0007
46        3.2989        0.24        1        2260176.2695    1.5859       100    92.8685    3.193    79.4844    0.222       469.264      28.4649    0.0007
46.64        3.4044        0.26        1        2251840.332    1.5949       100    92.7155    3.014    79.1234    0.215       472.1878      28.4649    0.0007
47.28        3.5121        0.28        1        2243552.2461    1.602       100    92.5759    2.847    78.7584    0.199       475.2091      28.4649    0.0008
