Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.9        0.1449        0        1        2889719.7266    1.1851       100    201.3625    155.503    85.8231    4.11       407.9545      28.5844    0.9973
1.4        0.1459        0        1        2881675.293    1.1877       100    186.2733    145.689    87.776    2.116       407.986      28.5844    0.9973
1.9        0.1473        0        1        2874928.4668    1.1904       100    159.8924    95.871    88.6564    1.274       408.016      28.5844    0.9973
2.4        0.1492        0        1        2868440.918    1.1932       100    148.0047    -26.353    88.678    0.935       408.0463      28.5844    0.9973
2.9        0.1515        0        1        2861953.6133    1.196       100    24.8034    -160.273    87.8828    1.001       408.1288      28.5844    0.9973
3.4        0.1543        0        1        2855467.041    1.1986       100    154.8291    -37.58    86.5591    2.175       408.1034      28.5845    0.9973
3.9        0.1576        0        1        2848994.6289    1.2005       100    172.7485    -26.686    83.3151    5.584       408.031      28.5846    0.9973
4.4        0.1614        0        1        2842507.8125    1.2038       100    179.8155    -24.42    82.5479    6.532       407.9757      28.5847    0.9973
4.9        0.1657        0        1        2836020.5078    1.2062       100    184.0445    -19.883    83.1216    6.005       407.9554      28.5847    0.9973
5.8        0.1746        0        1        2825378.1738    1.2127       100    187.6469    -3.17    83.9386    5.557       407.7793      28.5851    0.9973
6.4        0.1815        0        1        2817857.4219    1.2169       100    191.9364    158.864    81.6515    7.832       407.8868      28.5852    0.9973
7        0.1892        0.01        1        2810070.5566    1.2194       100    188.7898    168.368    82.1901    6.581       408.0925      28.5849    0.9973
7.6        0.1976        0.01        1        2802278.8086    1.2238       100    183.8815    167.267    84.3539    4.239       408.239      28.5846    0.9973
8.18        0.2068        0.01        1        2794464.1113    1.2276       100    179.5855    163.775    86.2416    2.468       408.3253      28.5845    0.9973
8.78        0.2165        0.01        1        2786425.7812    1.231       100    176.6384    160.454    87.2944    1.686       408.476      28.5844    0.9973
9.34        0.2269        0.01        1        2779154.7852    1.2345       100    163.5518    147.182    88.3519    1.224       408.5714      28.5844    0.9973
9.92        0.2381        0.01        1        2771661.377    1.2355       100    153.2168    -28.624    88.7994    1.14       408.5905      28.5844    0.9973
10.5        0.25        0.01        1        2764135.9863    1.2397       100    166.2164    -21.612    88.4433    1.407       408.6147      28.5845    0.9973
11.08        0.2628        0.01        1        2756578.6133    1.2441       100    173.4631    34.589    88.0082    1.97       408.6813      28.5845    0.9973
11.66        0.2759        0.01        1        2749068.3594    1.2465       100    174.469    150.766    87.9608    1.933       408.7774      28.5845    0.9973
12.22        0.2897        0.01        1        2741825.9277    1.2513       100    173.0306    150.576    88.1453    1.74       408.8802      28.5845    0.9973
12.78        0.3043        0.01        1        2734535.1562    1.2557       100    171.3502    144.327    88.3271    1.607       408.9807      28.5845    0.9973
13.34        0.3197        0.01        1        2727255.127    1.2584       100    170.675    118.577    88.4183    1.564       409.0761      28.5845    0.9973
13.9        0.3359        0.01        1        2719992.6758    1.264       100    171.1115    40.732    88.4393    1.551       409.174      28.5845    0.9973
14.46        0.3529        0.01        1        2712726.3184    1.2672       100    171.9183    79.289    88.4454    1.546       409.279      28.5845    0.9973
15.02        0.3708        0.01        1        2705476.0742    1.269       100    172.4163    117.536    88.4683    1.516       409.3948      28.5845    0.9973
