Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
1.02        0.1948        0        1        2844812.7441    1.2063       100    121.9953    -194.333    80.9712    8.649       408.4712      28.4647    0
1.52        0.1959        0        1        2836023.6816    1.207       100    21.4909    -293.672    86.2724    3.456       408.6148      28.4648    0
2.02        0.1975        0        1        2829538.5742    1.2106       100    33.5776    -308.795    83.3281    6.405       408.7924      28.4648    0
2.52        0.1997        0        1        2823035.8887    1.2132       100    43.2514    -306.797    82.3332    7.166       408.9991      28.4649    0
3.02        0.2024        0        1        2816547.3633    1.2161       100    40.3924    -261.262    80.1837    9.273       409.1664      28.4651    0
3.52        0.2056        0        1        2810059.8145    1.2202       100    33.8248    -217.978    78.1567    10.838       409.0489      28.4651    0
4.02        0.2093        0        1        2803571.7773    1.2226       100    27.6319    -210.04    80.403    8.139       408.7904      28.465    0
4.52        0.2135        0        1        2797069.8242    1.226       100    18.5395    -215.2    83.9679    4.465       408.5678      28.4649    0
5.02        0.2183        0        1        2790580.5664    1.2285       100    3.3453    -230.753    86.679    1.829       408.4499      28.4648    0
6        0.2291        0        1        2779938.2324    1.2341       100    328.9678    87.723    88.1781    0.723       408.1047      28.4648    0
6.66        0.2377        0        1        2771134.2773    1.2381       100    271.0196    9.955    87.5854    1.894       408.0691      28.4648    0
7.32        0.2473        0        1        2762568.3594    1.2421       100    272.4922    -8.902    87.5558    2.127       408.1681      28.4648    0
7.98        0.258        0        1        2753988.5254    1.2457       100    282.6436    7.845    87.9059    1.814       408.2168      28.4648    0
8.62        0.2697        0        1        2745443.6035    1.2492       100    282.0329    13.769    88.0456    1.682       408.231      28.4648    0
9.28        0.2824        0        1        2736884.2773    1.2534       100    276.3301    6.701    88.0672    1.691       408.2543      28.4648    0
9.94        0.2963        0        1        2728338.1348    1.257       100    272.3931    -1.409    88.0793    1.715       408.303      28.4648    0
10.6        0.3112        0        1        2719756.3477    1.2618       100    269.7243    -7.623    88.1294    1.69       408.3687      28.4648    0
11.26        0.3273        0        1        2711191.1621    1.2667       100    267.6902    -10.458    88.1908    1.645       408.4427      28.4648    0
11.92        0.3445        0.01        1        2702627.9297    1.2714       100    265.7718    -11.21    88.2427    1.61       408.5264      28.4648    0
12.58        0.3628        0.01        1        2694064.4531    1.2759       100    263.7683    -11.477    88.2889    1.582       408.6238      28.4648    0.0001
13.24        0.3824        0.01        1        2685499.0234    1.2801       100    261.6285    -14.297    88.3372    1.546       408.7376      28.4648    0.0001
13.9        0.4031        0.01        1        2676917.4805    1.2849       100    259.449    -18.377    88.3885    1.504       408.8602      28.4648    0.0001
14.56        0.4251        0.01        1        2668384.0332    1.2878       100    257.5934    -21.486    88.4351    1.466       408.9947      28.4648    0.0001
15.22        0.4482        0.01        1        2659826.1719    1.2929       100    255.8995    -23.786    88.4799    1.43       409.1444      28.4648    0.0001
15.88        0.4727        0.01        1        2651267.334    1.297       100    254.1988    -26.718    88.5238    1.394       409.309      28.4648    0.0001
16.54        0.4984        0.01        1        2642675.0488    1.3032       100    252.5724    -29.685    88.5674    1.357       409.4905      28.4648    0.0001
17.2        0.5254        0.01        1        2634104.7363    1.3091       100    250.902    -32.16    88.6119    1.316       409.6825      28.4648    0.0001
17.86        0.5538        0.01        1        2625537.1094    1.3139       100    249.2916    -35.645    88.6515    1.279       409.8874      28.4648    0.0001
18.52        0.5834        0.01        1        2616990.2344    1.3183       100    247.7414    -40.21    88.6882    1.246       410.1075      28.4648    0.0001
19.18        0.6145        0.01        1        2608431.1523    1.3213       100    246.2841    -43.875    88.7244    1.212       410.3427      28.4648    0.0001
19.84        0.6469        0.01        1        2599886.4746    1.3264       100    244.8478    -47.076    88.7601    1.177       410.5961      28.4648    0.0001
20.5        0.6807        0.01        1        2591297.1191    1.333       100    243.4483    -49.895    88.794    1.144       410.867      28.4648    0.0001
21.16        0.716        0.01        1        2582724.8535    1.3382       100    242.1027    -53.017    88.8264    1.111       411.1476      28.4648    0.0001
21.82        0.7526        0.01        1        2574195.8008    1.3429       100    240.8294    -56.007    88.8573    1.081       411.4516      28.4648    0.0001
22.48        0.7908        0.01        1        2565608.1543    1.3505       100    239.6101    -58.456    88.8892    1.048       411.7765      28.4648    0.0001
23.14        0.8305        0.01        1        2557033.2031    1.3535       100    238.4263    -59.806    88.9209    1.014       412.1124      28.4649    0.0001
23.8        0.8717        0.01        1        2548486.084    1.3596       100    237.3212    -61.22    88.9504    0.983       412.4686      28.4649    0.0002
24.46        0.9131        0.02        1        2539914.3066    1.3666       100    236.2961    178.187    88.9781    0.92       412.576      28.4649    0.0002
