Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.9        0.1592        0        1        2889325.9277    1.1865       100    240.4983    94.281    88.4205    1.551       407.952      28.5844    0.9973
1.36        0.1601        0        1        2881284.4238    1.1894       100    195.4245    79.867    88.5947    1.371       407.9717      28.5844    0.9973
1.84        0.1614        0        1        2875055.4199    1.1912       100    175.9321    76.532    88.6198    1.349       407.9922      28.5844    0.9973
2.34        0.1633        0        1        2868829.3457    1.1936       100    166.9429    -11.557    88.6539    1.086       408.0336      28.5844    0.9973
2.84        0.1656        0        1        2862339.8438    1.196       100    152.0858    -36.544    88.4579    0.948       408.0893      28.5844    0.9973
3.34        0.1685        0        1        2855868.4082    1.1978       100    147.0922    -47    88.0727    0.992       408.0894      28.5844    0.9973
3.84        0.1717        0        1        2849382.5684    1.2011       100    164.9793    -31.377    87.2713    1.568       408.0418      28.5844    0.9973
4.34        0.1755        0        1        2842895.0195    1.2036       100    178.6733    -18.338    86.0611    2.703       407.9943      28.5845    0.9973
4.84        0.1798        0        1        2836407.959    1.2068       100    184.3776    -12.694    85.1029    3.683       407.9675      28.5846    0.9973
5.72        0.1886        0        1        2825788.3301    1.2108       100    187.2868    -3.663    84.4318    4.847       407.7816      28.5851    0.9973
6.3        0.1955        0        1        2818256.5918    1.2141       100    192.5742    152.755    82.0725    7.565       407.8625      28.5852    0.9973
6.9        0.2031        0.01        1        2810475.8301    1.2188       100    189.6834    168.845    82.4105    6.433       408.0678      28.5849    0.9973
7.48        0.2112        0.01        1        2802690.4297    1.2223       100    184.8961    169.547    84.5844    4.104       408.2886      28.5846    0.9973
8.06        0.2198        0.01        1        2795159.1797    1.2268       100    175.0498    166.432    86.896    2.341       408.3828      28.5844    0.9973
8.62        0.229        0.01        1        2787881.5918    1.2303       100    166.697    -178.512    88.3745    1.492       408.3631      28.5844    0.9973
9.18        0.2389        0.01        1        2780615.7227    1.2333       100    176.5185    -25.918    88.2628    1.57       408.3566      28.5845    0.9973
9.74        0.2496        0.01        1        2773349.8535    1.2373       100    182.2667    -7.192    87.6659    2.22       408.3994      28.5846    0.9973
10.3        0.2609        0.01        1        2766072.998    1.2408       100    182.9738    139.556    87.3586    2.602       408.4795      28.5846    0.9973
10.86        0.273        0.01        1        2758799.5605    1.2439       100    182.0771    160.243    87.4822    2.415       408.5719      28.5846    0.9973
11.42        0.2859        0.01        1        2751535.6445    1.2479       100    180.8201    159.206    87.7491    2.18       408.6616      28.5845    0.9973
11.98        0.2995        0.01        1        2744271.4844    1.2507       100    180.0481    138.015    87.936    2.053       408.7437      28.5845    0.9973
12.54        0.3139        0.01        1        2737020.0195    1.2532       100    180.0705    -6.011    88.0027    1.97       408.8263      28.5846    0.9973
13.1        0.3291        0.01        1        2729754.1504    1.2572       100    180.4524    -7.961    88.0208    1.95       408.9147      28.5846    0.9973
13.66        0.345        0.01        1        2722488.2812    1.2605       100    180.8254    -0.573    88.0417    1.942       409.0127      28.5846    0.9973
14.22        0.3618        0.01        1        2715229.9805    1.2641       100    180.9742    22.317    88.0898    1.903       409.1187      28.5846    0.9973
14.78        0.3794        0.01        1        2707975.8301    1.2682       100    180.9895    22.958    88.1466    1.846       409.234      28.5846    0.9973
15.34        0.3978        0.01        1        2700692.8711    1.2726       100    180.9969    0.775    88.2017    1.787       409.3542      28.5846    0.9973
15.9        0.417        0.01        1        2693424.8047    1.2764       100    181.0855    -11.636    88.2461    1.74       409.4779      28.5846    0.9973
16.46        0.4371        0.01        1        2686175.0488    1.2802       100    181.2949    -16.473    88.2833    1.703       409.6086      28.5846    0.9973
17.02        0.4581        0.01        1        2678907.7148    1.2845       100    181.5556    -15.811    88.3191    1.669       409.748      28.5846    0.9973
17.58        0.4799        0.01        1        2671645.9961    1.2873       100    181.7729    -16.588    88.3552    1.635       409.8954      28.5847    0.9973
18.14        0.5027        0.02        1        2664374.2676    1.2917       100    181.9977    -15.826    88.3902    1.602       410.0502      28.5847    0.9973
18.7        0.5263        0.02        1        2657114.7461    1.2964       100    182.2376    -13.691    88.424    1.568       410.216      28.5847    0.9973
19.26        0.5508        0.02        1        2649823.9746    1.3018       100    182.4508    -15.448    88.4582    1.534       410.3908      28.5847    0.9973
19.82        0.5763        0.02        1        2642543.9453    1.3061       100    182.6922    -19.59    88.489    1.504       410.5713      28.5847    0.9973
20.38        0.6028        0.02        1        2635281.4941    1.3103       100    182.946    -29.926    88.519    1.474       410.7621      28.5847    0.9973
20.94        0.6301        0.02        1        2628015.1367    1.314       100    183.2149    -36.01    88.5478    1.445       410.959      28.5847    0.9973
21.5        0.6585        0.02        1        2620764.8926    1.3162       100    183.5192    -38.53    88.5751    1.419       411.1669      28.5847    0.9973
