Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.8        0.1499        0        1        2894405.0293    1.1798       100    244.7144    -101.759    37.6475    51.822       406.4623      28.7511    0.9974
1.26        0.1508        0        1        2887399.1699    1.1845       100    260.2175    -73.157    61.352    28.6       406.4667      28.7511    0.9974
1.74        0.1521        0        1        2881402.3438    1.1886       100    253.3781    76.353    70.0316    19.743       406.5274      28.7511    0.9974
2.22        0.1538        0        1        2875170.166    1.1915       100    254.1144    69.452    76.0144    13.274       406.5855      28.7511    0.9974
2.7        0.156        0        1        2868957.7637    1.1944       100    249.6515    56.425    79.3748    9.547       406.5877      28.7512    0.9974
3.18        0.1586        0        1        2862731.6895    1.1962       100    237.6548    39.673    80.0372    8.725       406.5141      28.7513    0.9974
3.66        0.1617        0        1        2856503.9062    1.1976       100    231.5914    32.599    79.8256    8.909       406.4403      28.7513    0.9974
4.14        0.1652        0        1        2850275.8789    1.2008       100    228.7856    30.998    79.8748    8.869       406.398      28.7514    0.9974
4.96        0.1722        0.01        1        2840415.0391    1.206       100    224.6029    32.204    80.2376    9.213       406.2242      28.7519    0.9974
5.52        0.1778        0.01        1        2833144.5312    1.2097       100    217.4191    188.099    78.2538    11.189       406.2904      28.7518    0.9974
6.08        0.184        0.01        1        2825863.0371    1.2131       100    218.824    194.092    80.1812    8.753       406.4586      28.7515    0.9974
6.64        0.1909        0.01        1        2818612.0605    1.2155       100    221.8177    200.445    82.6145    6.242       406.5861      28.7514    0.9974
7.2        0.1984        0.01        1        2811351.3184    1.2188       100    224.4505    206.766    84.1472    4.717       406.6537      28.7513    0.9974
7.76        0.2066        0.01        1        2804085.2051    1.2215       100    227.3059    211.415    85.0303    3.798       406.7056      28.7512    0.9974
8.3        0.2152        0.01        1        2796819.3359    1.2246       100    231.0698    215.421    85.7076    3.216       406.812      28.7511    0.9974
8.84        0.2244        0.01        1        2789812.9883    1.2286       100    242.0256    226.111    86.7262    2.707       406.9122      28.7511    0.9974
9.38        0.2342        0.01        1        2782808.1055    1.2316       100    251.3805    -104.99    87.315    2.621       406.9487      28.7511    0.9974
9.92        0.2447        0.01        1        2775818.6035    1.2343       100    247.2376    27.483    87.3471    2.511       406.9474      28.7511    0.9974
10.46        0.2558        0.01        1        2768804.4434    1.2386       100    241.2557    11.603    87.1797    2.728       406.9649      28.7512    0.9974
11        0.2677        0.01        1        2761787.1094    1.242       100    239.4773    -88.675    87.1544    2.818       407.0218      28.7511    0.9974
