Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
1        0.1947        0        1        2844838.623    1.2036       100    137.7777    -193.579    89.2884    0.708       408.4365      28.4647    0
1.5        0.1959        0        1        2836269.7754    1.207       100    166.5361    -134.709    89.3387    0.647       408.433      28.4647    0
2        0.1976        0        1        2829796.1426    1.2091       100    187.4779    -112.446    89.3711    0.611       408.431      28.4647    0
2.5        0.1999        0        1        2823314.9414    1.2122       100    199.5919    -41.599    89.3591    0.598       408.5133      28.4647    0
3        0.2027        0        1        2816827.6367    1.2155       100    58.9846    -166.17    89.1675    0.351       408.6422      28.4647    0
3.5        0.206        0        1        2810340.0879    1.2182       100    50.554    -173.911    87.968    1.041       408.5426      28.4647    0
4        0.2098        0        1        2803859.6191    1.2212       100    81.2971    -142.927    89.6377    -0.882       408.3615      28.4648    0
4.5        0.2141        0        1        2797385.2539    1.224       100    217.0469    -7.129    88.2075    0.538       408.2216      28.4648    0
5        0.219        0        1        2790891.1133    1.227       100    219.711    -4.596    86.9683    1.857       408.1467      28.4648    0
