Time     Altitude  Dwnrg Dst    Stage     Mass           TWR     Throt      AZ(cmd)     HOR AOA      Pitch   Vert AOA       Orbvel		   Incl       Ecctr
0.4       0.0916     0      1    1986376.0986    0       100    350.6051    0    77.3964    0       407.4893      28.7326    0.9973
0.84       0.0931     0      1    1981154.9072    0.7755       100    12.6867    0    79.7106    0       407.5502      28.7328    0.9973
1.3       0.0958     0      1    1975922.9736    0.7781       100    10.0969    0    80.8756    0       407.6028      28.7329    0.9973
1.74       0.0994     0      1    1970455.5664    0.9751       100    8.2587    0    81.6704    0       407.6904      28.7332    0.9973
2.18       0.1041     0      1    1965232.9102    1.1336       100    7.8888    0    81.7473    0       407.7824      28.7334    0.9973
2.62       0.1098     0      1    1960023.0713    1.48       100    7.638    0    82.1992    0       407.8744      28.7336    0.9973
3.06       0.1166     0      1    1954818.1152    1.5517       100    7.4636    0    82.9047    0       407.9815      28.7337    0.9973
3.5       0.1245     0      1    1949590.9424    1.5701       100    7.3796    0    83.496    0       408.1035      28.7339    0.9973
3.94       0.1334     0.01      1    1944357.2998    1.5779       100    7.2559    0    83.942    0       408.2373      28.7341    0.9973
4.52       0.147     0.01      1    1937690.918    1.5887       100    6.9454    0    84.3718    0       408.3798      28.7341    0.9973
4.98       0.1593     0.01      1    1932201.2939    1.5955       100    5.7241    0    84.9993    0       408.6145      28.7345    0.9973
5.44       0.1727     0.01      1    1926667.4805    1.6051       100    6.5558    0    84.9546    0       408.9019      28.7352    0.9973
5.9       0.1874     0.01      1    1921118.8965    1.6148       100    7.3215    0    84.5799    0       409.2123      28.7361    0.9973
6.36       0.2033     0.01      1    1915548.584    1.6267       100    7.847    0    84.2422    0       409.5434      28.7371    0.9973
6.8       0.2198     0.01      1    1909959.1064    1.638       100    8.2411    0    83.9975    0       409.5625      28.7384    0.9973
7.24       0.2373     0.02      1    1904588.8672    1.6488       100    3.8338    0    83.7203    0       410.213      28.7394    0.9973
7.68       0.2561     0.02      1    1899172.7295    1.6621       100    8.9318    0    83.6074    0       411.436      28.7399    0.9973
8.12       0.2762     0.02      1    1893759.8877    1.6724       100    18.9164    0    83.4985    0       412.2512      28.7405    0.9973
8.56       0.2977     0.02      1    1888360.4736    1.6819       100    22.9352    0    83.4625    0       412.5351      28.7412    0.9973
9       0.3204     0.02      1    1882940.1855    1.6902       100    21.2488    0    83.6547    0       412.4293      28.7418    0.9973
9.44       0.3444     0.03      1    1877522.4609    1.6953       100    15.903    0    83.9963    0       412.1949      28.7423    0.9973
9.86       0.3685     0.03      1    1872098.5107    1.7024       100    9.3059    0    84.336    0       412.0889      28.7427    0.9973
10.3       0.3951     0.03      1    1866656.3721    1.7108       100    3.8506    0    84.5777    0       412.227      28.7433    0.9973
10.74       0.423     0.03      1    1861197.876    1.7192       100    0.8091    0    84.7022    0       412.5993      28.7443    0.9973
11.18       0.4522     0.04      1    1855746.8262    1.727       100    359.8659    0    84.7285    0       413.091      28.7455    0.9973
11.62       0.4828     0.04      1    1850314.5752    1.733       100    359.8565    0    84.6923    0       413.7061      28.7474    0.9973
12.06       0.5149     0.04      1    1844868.5303    1.7392       100    0.4754    0    84.5663    0       413.9838      28.7476    0.9973
12.9       0.5798     0.05      1    1836692.749    1.7508       100    355.7125    0    84.9794    0       414.0862      28.7452    0.9974
13.5       0.6293     0.05      1    1829246.9482    1.7601       100    348.3302    0    85.5112    0       414.4867      28.7449    0.9974
14.12       0.6832     0.06      1    1821519.165    1.7701       100    343.8493    0    85.7113    0       415.3877      28.7465    0.9974
14.72       0.7381     0.06      1    1814074.9512    1.7791       100    344.2899    0    85.6754    0       416.606      28.7487    0.9974
15.34       0.7976     0.06      1    1806372.6807    1.7896       100    347.1616    0    85.6239    0       417.9962      28.7499    0.9974
15.94       0.8581     0.07      1    1798926.6357    1.7969       100    349.748    0    85.7288    0       419.38      28.7492    0.9974
16.54       0.9213     0.07      1    1791467.8955    1.8057       100    351.6753    0    86.0317    0       420.8827      28.7473    0.9974
17.14       0.9874     0.08      1    1784012.085    1.8151       100    354.0345    0    86.4616    0       422.6114      28.7451    0.9973
17.74       1.0562     0.08      1    1776547.8516    1.8243       100    358.3798    0    86.9021    0       424.6288      28.7431    0.9973
18.34       1.128     0.08      1    1769089.4775    1.8352       100    6.068    0    87.2679    0       426.9556      28.7414    0.9973
18.94       1.2027     0.09      1    1761582.0312    1.8468       100    17.6048    0    87.519    0       429.5157      28.7396    0.9973
19.54       1.2803     0.09      1    1754103.1494    1.8567       100    32.2424    0    87.6329    0       432.2485      28.7376    0.9973
20.14       1.3608     0.09      1    1746653.1982    1.8668       100    48.3953    0    87.5908    0       435.1929      28.7358    0.9973
20.74       1.4442     0.09      1    1739156.0059    1.8778       100    64.0666    0    87.3716    0       438.3409      28.7343    0.9973
21.34       1.5307     0.09      1    1731661.2549    1.8875       100    77.1632    0    86.9717    0       441.7379      28.7335    0.9972
21.94       1.6201     0.1      1    1724130.127    1.9014       100    86.9757    0    86.4186    0       445.3591      28.7336    0.9972
22.54       1.7125     0.1      1    1716627.1973    1.913       100    93.9279    0    85.7573    0       449.1908      28.7347    0.9972
23.14       1.8079     0.1      1    1709140.8691    1.923       100    98.882    0    85.0242    0       453.2304      28.737    0.9971
23.74       1.9063     0.1      1    1701664.6729    1.9314       100    102.5601    0    84.2429    0       457.4334      28.7407    0.9971
24.34       2.0076     0.1      1    1694246.7041    1.9329       100    105.4001    0    83.4305    0       461.7289      28.7461    0.9971
24.94       2.1117     0.11      1    1686943.2373    1.9311       100    107.6366    0    82.6    0       466.1324      28.7532    0.997
25.54       2.2185     0.12      1    1679736.2061    1.9221       100    109.4163    0    81.7533    0       470.63      28.7622    0.997
26.12       2.328     0.13      1    1672623.1689    1.9101       100    110.8371    0    80.8942    0       475.2816      28.7733    0.9969
26.74       2.4401     0.14      1    1665543.335    1.9012       100    111.9922    0    80.0182    0       480.0715      28.7866    0.9969
27.34       2.5548     0.15      1    1658506.958    1.8942       100    112.9485    0    79.1315    0       484.9602      28.8021    0.9968
27.94       2.672     0.17      1    1651553.2227    1.8892       100    113.7479    0    78.2363    0       489.965      28.8201    0.9968
28.56       2.7958     0.2      1    1644627.9297    1.889       100    114.4306    0    77.3337    0       495.4995      28.8423    0.9967
29.22       2.9305     0.23      1    1637003.2959    1.8894       100    115.0623    0    76.36    0       501.1939      28.8679    0.9967
29.86       3.0639     0.26      1    1629687.6221    1.8894       100    115.6114    0    75.358    0       506.889      28.8955    0.9966
30.5       3.2002     0.29      1    1622404.1748    1.8927       100    116.0646    0    74.4181    0       512.5229      28.924    0.9965
31.14       3.3392     0.33      1    1615152.0996    1.8936       100    116.4369    0    73.5655    0       518.1068      28.9537    0.9965
31.76       3.4766     0.37      1    1607980.957    1.8909       100    116.7521    0    72.7718    0       523.6698      28.9846    0.9964
32.4       3.6212     0.42      1    1600848.5107    1.8914       100    117.0253    0    72.0261    0       529.2489      29.0166    0.9964
33.04       3.7687     0.47      1    1593741.4551    1.8908       100    117.2649    0    71.3292    0       534.7976      29.0494    0.9963
33.68       3.9191     0.52      1    1586676.1475    1.8903       100    117.4752    0    70.6825    0       540.3069      29.0828    0.9962
34.32       4.0723     0.58      1    1579669.1895    1.8921       100    117.6607    0    70.0828    0       545.8057      29.1167    0.9962
34.96       4.2285     0.63      1    1572691.04    1.8919       100    117.8257    0    69.5258    0       551.2611      29.151    0.9961
35.6       4.3875     0.69      1    1565777.4658    1.8912       100    117.9733    0    69.0081    0       556.6819      29.1856    0.9961
36.24       4.5495     0.76      1    1558913.6963    1.8894       100    118.1066    0    68.5265    0       562.0779      29.2205    0.996
36.88       4.7144     0.82      1    1552078.3691    1.8895       100    118.2282    0    68.078    0       567.4387      29.2556    0.9959
37.52       4.8822     0.89      1    1545285.1562    1.8884       100    118.3397    0    67.6583    0       572.74      29.2908    0.9959
38.08       5.0314     0.96      1    1538737.915    1.8884       100    118.4422    0    67.2633    0       577.3044      29.3214    0.9958
38.64       5.1827     1.02      1    1532870.3613    1.887       100    118.5251    0    66.9418    0       581.6623      29.3512    0.9958
39.18       5.3307     1.08      1    1527242.1875    1.8861       100    118.6012    0    66.6375    0       586.0783      29.382    0.9957
39.72       5.4805     1.15      1    1521604.3701    1.8888       100    118.6752    0    66.327    0       590.503      29.4136    0.9957
40.26       5.6323     1.21      1    1515993.5303    1.8906       100    118.7455    0    66.0134    0       594.9034      29.4457    0.9956
40.8       5.786     1.28      1    1510419.0674    1.8934       100    118.8141    0    65.7007    0       599.2912      29.4783    0.9956
41.34       5.9415     1.35      1    1504868.5303    1.896       100    118.8791    0    65.3893    0       603.7016      29.5115    0.9955
41.88       6.0988     1.43      1    1499335.8154    1.8961       100    118.9411    0    65.0782    0       608.1067      29.5452    0.9955
42.42       6.2579     1.5      1    1493845.5811    1.896       100    119.0004    0    64.7661    0       612.5511      29.5798    0.9954
42.96       6.4188     1.58      1    1488371.0938    1.8978       100    119.0574    0    64.4523    0       617.0375      29.6151    0.9953
43.5       6.5815     1.66      1    1482916.626    1.8987       100    119.1124    0    64.1371    0       621.5574      29.6512    0.9953
44.04       6.7459     1.74      1    1477486.9385    1.8996       100    119.165    0    63.8217    0       626.073      29.6877    0.9952
44.58       6.912     1.82      1    1472112.0605    1.8982       100    119.2154    0    63.5058    0       630.5909      29.7247    0.9952
45.12       7.0798     1.91      1    1466772.4609    1.897       100    119.2637    0    63.1884    0       635.1916      29.7628    0.9951
45.66       7.2494     2      1    1461420.4102    1.8984       100    119.3105    0    62.8699    0       639.8514      29.8016    0.995
46.2       7.4206     2.08      1    1456086.0596    1.8993       100    119.3554    0    62.5505    0       644.5092      29.841    0.995
46.74       7.5935     2.18      1    1450798.2178    1.9017       100    119.3991    0    62.2301    0       649.2177      29.8811    0.9949
47.28       7.7681     2.27      1    1445511.1084    1.9063       100    119.4412    0    61.909    0       654.027      29.9222    0.9948
47.82       7.9444     2.36      1    1440205.0781    1.9109       100    119.4821    0    61.5881    0       658.8717      29.964    0.9948
48.36       8.1224     2.46      1    1434932.0068    1.9149       100    119.521    0    61.2673    0       663.722      30.0061    0.9947
48.9       8.302     2.56      1    1429693.8477    1.9203       100    119.5585    0    60.9462    0       668.6271      30.049    0.9946
49.44       8.4833     2.66      1    1424465.5762    1.9234       100    119.5949    0    60.6253    0       673.5739      30.0925    0.9946
49.98       8.6662     2.77      1    1419258.5449    1.9235       100    119.63    0    60.3045    0       678.5196      30.1364    0.9945
50.52       8.8508     2.88      1    1414104.4922    1.9222       100    119.6639    0    59.9838    0       683.4599      30.1805    0.9944
51.06       9.037     2.99      1    1408992.4316    1.9202       100    119.6964    0    59.6627    0       688.4451      30.2253    0.9943
51.6       9.2247     3.1      1    1403896.2402    1.9185       100    119.7277    0    59.3411    0       693.494      30.2708    0.9943
52.14       9.414     3.21      1    1398807.7393    1.9172       100    119.7585    0    59.0187    0       698.5617      30.3168    0.9942
52.68       9.6049     3.33      1    1393755.6152    1.9178       100    119.7878    0    58.6955    0       703.6701      30.3633    0.9941
53.22       9.7974     3.45      1    1388714.9658    1.9203       100    119.8167    0    58.3724    0       708.8451      30.4105    0.994
53.76       9.9914     3.57      1    1383677.002    1.9239       100    119.8444    0    58.0496    0       714.0913      30.4583    0.9939
54.3       10.187     3.69      1    1378637.5732    1.929       100    119.8712    0    57.7267    0       719.4194      30.5069    0.9938
54.84       10.3842     3.82      1    1373588.8672    1.9382       100    119.8971    0    57.4041    0       724.8158      30.556    0.9938
55.38       10.583     3.95      1    1368546.875    1.9464       100    119.9222    0    57.0823    0       730.2362      30.6055    0.9937
55.92       10.7834     4.08      1    1363526.6113    1.954       100    119.9464    0    56.7612    0       735.7632      30.6558    0.9936
56.46       10.9855     4.21      1    1358475.2197    1.9648       100    119.97    0    56.4411    0       741.4144      30.707    0.9935
57       11.1891     4.35      1    1353397.2168    1.9759       100    119.993    0    56.1222    0       747.149      30.7588    0.9934
57.54       11.3945     4.49      1    1348307.4951    1.9906       100    120.0153    0    55.8044    0       752.9994      30.8114    0.9933
58.08       11.6016     4.63      1    1343190.918    2.0077       100    120.0369    0    55.4886    0       758.914      30.8644    0.9932
58.62       11.8103     4.78      1    1338080.3223    2.0212       100    120.0579    0    55.1748    0       764.905      30.918    0.9931
59.16       12.0208     4.93      1    1332958.1299    2.0352       100    120.0783    0    54.863    0       771.0017      30.9721    0.9929
59.7       12.2331     5.08      1    1327814.9414    2.0494       100    120.098    0    54.5537    0       777.1995      31.0269    0.9928
60.24       12.4472     5.23      1    1322658.9355    2.0621       100    120.1173    0    54.2465    0       783.4427      31.0819    0.9927
60.78       12.663     5.39      1    1317515.9912    2.0749       100    120.1359    0    53.9411    0       789.7747      31.1373    0.9926
61.32       12.8806     5.55      1    1312358.2764    2.0875       100    120.154    0    53.638    0       796.1898      31.1932    0.9925
61.86       13.1     5.72      1    1307195.6787    2.0984       100    120.1716    0    53.3371    0       802.7126      31.2497    0.9924
62.4       13.3213     5.88      1    1302004.5166    2.1131       100    120.1887    0    53.0383    0       809.3898      31.3069    0.9922
62.94       13.5445     6.05      1    1296773.6816    2.1306       100    120.2053    0    52.742    0       816.121      31.3644    0.9921
63.48       13.7696     6.23      1    1291557.8613    2.1457       100    120.2215    0    52.4481    0       822.9253      31.4221    0.992
64.02       13.9965     6.4      1    1286332.6416    2.162       100    120.2372    0    52.157    0       829.8096      31.48    0.9918
64.56       14.2254     6.58      1    1281109.2529    2.1737       100    120.2525    0    51.8683    0       836.7629      31.5382    0.9917
65.1       14.4563     6.77      1    1275879.8828    2.1848       100    120.2673    0    51.5819    0       843.8269      31.5968    0.9916
65.64       14.6891     6.95      1    1270632.5684    2.1984       100    120.2818    0    51.2978    0       850.9807      31.6557    0.9914
66.18       14.9238     7.14      1    1265375.7324    2.2115       100    120.2959    0    51.0162    0       858.2239      31.7149    0.9913
66.72       15.1606     7.34      1    1260109.375    2.2267       100    120.3096    0    50.7371    0       865.5574      31.7743    0.9911
67.26       15.3993     7.53      1    1254833.1299    2.2413       100    120.3229    0    50.4605    0       872.9683      31.8338    0.991
67.8       15.6401     7.74      1    1249557.1289    2.2543       100    120.3359    0    50.1862    0       880.4574      31.8935    0.9908
68.34       15.8829     7.94      1    1244270.874    2.2686       100    120.3485    0    49.9145    0       888.0752      31.9535    0.9906
68.88       16.1278     8.15      1    1238960.4492    2.2833       100    120.3609    0    49.6456    0       895.763      32.0136    0.9905
69.42       16.3748     8.36      1    1233653.1982    2.2974       100    120.3729    0    49.3789    0       903.5449      32.0739    0.9903
69.96       16.6239     8.58      1    1228333.1299    2.3137       100    120.3847    0    49.1146    0       911.4424      32.1344    0.9901
70.5       16.8751     8.8      1    1222991.4551    2.3301       100    120.3961    0    48.8528    0       919.472      32.1953    0.99
71.04       17.1285     9.02      1    1217625    2.3471       100    120.4073    0    48.5938    0       927.5613      32.256    0.9898
71.58       17.384     9.25      1    1212272.583    2.3622       100    120.4182    0    48.3375    0       935.725      32.3167    0.9896
72.12       17.6417     9.48      1    1206913.208    2.378       100    120.4288    0    48.0839    0       944.0113      32.3776    0.9894
72.66       17.9017     9.72      1    1201536.2549    2.3926       100    120.4391    0    47.8331    0       952.3881      32.4385    0.9892
73.2       18.1638     9.96      1    1196156.3721    2.4058       100    120.4493    0    47.5848    0       960.8444      32.4993    0.989
73.74       18.4282     10.2      1    1190777.2217    2.4209       100    120.4591    0    47.3392    0       969.3952      32.5601    0.9888
74.28       18.6949     10.45      1    1185390.625    2.4351       100    120.4688    0    47.0961    0       978.0509      32.621    0.9886
74.82       18.9638     10.7      1    1179994.3848    2.4491       100    120.4782    0    46.8553    0       986.7964      32.6818    0.9884
75.36       19.235     10.96      1    1174597.168    2.4629       100    120.4873    0    46.6171    0       995.6054      32.7423    0.9882
75.9       19.5086     11.22      1    1169210.8154    2.4757       100    120.4963    0    46.3814    0       1004.5244      32.8029    0.988
76.44       19.7844     11.48      1    1163804.5654    2.4906       100    120.505    0    46.1482    0       1013.5654      32.8635    0.9878
76.98       20.0626     11.75      1    1158390.5029    2.5043       100    120.5136    0    45.9175    0       1022.691      32.924    0.9876
77.52       20.3432     12.03      1    1152972.168    2.5195       100    120.522    0    45.6892    0       1031.9013      32.9843    0.9873
78.06       20.6262     12.3      1    1147560.4248    2.5346       100    120.5302    0    45.4636    0       1041.205      33.0444    0.9871
78.6       20.9116     12.59      1    1142140.9912    2.5479       100    120.5382    0    45.2404    0       1050.5862      33.1043    0.9868
79.14       21.1993     12.87      1    1136730.3467    2.5612       100    120.5461    0    45.0196    0       1060.0882      33.1642    0.9866
79.68       21.4896     13.17      1    1131298.2178    2.5763       100    120.5537    0    44.8013    0       1069.6977      33.2239    0.9864
80.22       21.7823     13.46      1    1125870.9717    2.5899       100    120.5613    0    44.5854    0       1079.3199      33.2831    0.9861
80.76       22.0774     13.77      1    1120472.5342    2.6012       100    120.5686    0    44.3717    0       1089.0169      33.3419    0.9858
81.3       22.3749     14.07      1    1115085.4492    2.6101       100    120.5759    0    44.1605    0       1098.6876      33.4    0.9856
81.84       22.6749     14.38      1    1109751.5869    2.611       100    120.5829    0    43.9513    0       1108.4187      33.4577    0.9853
82.38       22.9773     14.7      1    1104420.166    2.6156       100    120.5899    0    43.7442    0       1118.2799      33.5154    0.9851
82.92       23.2822     15.02      1    1099079.3457    2.621       100    120.5967    0    43.539    0       1128.1413      33.5724    0.9848
83.46       23.5895     15.34      1    1093787.7197    2.6233       100    120.6034    0    43.3354    0       1137.9633      33.6287    0.9845
84       23.8991     15.67      1    1088544.0674    2.6273       100    120.6099    0    43.1334    0       1147.8749      33.6846    0.9842
84.54       24.2112     16.01      1    1083296.5088    2.631       100    120.6164    0    42.9333    0       1157.8795      33.7404    0.9839
85.08       24.5257     16.35      1    1078058.4717    2.6321       100    120.6227    0    42.735    0       1167.8713      33.7955    0.9836
85.62       24.8426     16.7      1    1072863.1592    2.6358       100    120.629    0    42.5379    0       1177.9155      33.8502    0.9834
86.16       25.1618     17.05      1    1067684.2041    2.6399       100    120.6351    0    42.3424    0       1187.9291      33.9041    0.9831
86.7       25.4834     17.4      1    1062562.6221    2.6369       100    120.6412    0    42.1487    0       1197.9389      33.9573    0.9828
87.24       25.8073     17.76      1    1057473.2666    2.6339       100    120.6472    0    41.9565    0       1207.985      34.0102    0.9825
87.78       26.1335     18.12      1    1052408.9355    2.6314       100    120.6531    0    41.7656    0       1218.0701      34.0626    0.9821
88.32       26.4621     18.49      1    1047364.2578    2.6299       100    120.6589    0    41.5758    0       1228.2156      34.1146    0.9818
88.86       26.7929     18.87      1    1042333.252    2.6328       100    120.6646    0    41.387    0       1238.3748      34.1661    0.9815
89.4       27.1261     19.25      1    1037339.1113    2.6336       100    120.6703    0    41.1998    0       1248.5151      34.2169    0.9812
89.94       27.4615     19.64      1    1032388.4277    2.6327       100    120.6759    0    41.0146    0       1258.6213      34.2669    0.9809
90.48       27.7991     20.03      1    1027492.0654    2.6263       100    120.6814    0    40.8306    0       1268.67      34.3162    0.9805
