Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.86        0.4026        0        1        2890868.1641    1.1909       100    182.573    172.605    83.0965    6.23       407.914      28.6445    0.9973
1.36        0.4043        0        1        2883353.0273    1.192       100    11.139    1.04    74.3906    14.691       407.8689      28.6445    0.9973
1.86        0.4063        0        1        2876614.7461    1.1948       100    9.1037    -2.439    79.2728    9.727       407.9647      28.6448    0.9973
2.36        0.4088        0        1        2870121.582    1.1982       100    9.2804    -6.039    75.2641    14.265       408.0675      28.6451    0.9973
2.86        0.4118        0        1        2863619.873    1.2008       100    10.4583    -179.316    74.471    15.146       408.1226      28.6451    0.9973
3.36        0.4153        0        1        2857150.1465    1.203       100    11.6739    -182.49    76.523    12.426       408.0815      28.6449    0.9973
3.86        0.4193        0        1        2850684.8145    1.2055       100    11.7848    -184.013    80.4157    8.262       408.0053      28.6446    0.9973
4.36        0.4237        0        1        2844185.3027    1.2086       100    10.4132    -186.286    83.8687    4.805       407.9466      28.6445    0.9973
4.86        0.4287        0        1        2837689.9414    1.2112       100    7.3172    -189.417    85.9561    2.78       407.9184      28.6445    0.9973
5.74        0.4388        0.01        1        2827293.7012    1.2195       100    0.3693    -194.564    87.7346    1.322       407.8265      28.6444    0.9973
6.32        0.4463        0.01        1        2819774.6582    1.2216       100    300.4858    111.122    89.4065    0.213       407.8543      28.6444    0.9973
6.9        0.4545        0.01        1        2812279.0527    1.2239       100    271.7534    123.583    89.5139    0.419       407.9533      28.6444    0.9973
7.48        0.4635        0.01        1        2804747.3145    1.2265       100    334.5044    211.135    89.4602    0.506       408.0375      28.6444    0.9973
8.06        0.4732        0.01        1        2797227.7832    1.2293       100    351.5209    165.724    89.2935    0.636       408.0831      28.6444    0.9973
8.62        0.4833        0.01        1        2789697.998    1.2337       100    346.7408    153.502    89.4207    0.493       408.1184      28.6444    0.9973
9.18        0.4941        0.01        1        2782432.8613    1.2383       100    331.8881    141.33    89.5869    0.352       408.1671      28.6444    0.9973
9.74        0.5057        0.01        1        2775134.5215    1.2427       100    316.6849    137.778    89.673    0.296       408.2291      28.6444    0.9973
10.3        0.518        0.01        1        2767875.2441    1.2448       100    308.0737    150.475    89.713    0.271       408.2973      28.6444    0.9973
10.86        0.531        0.01        1        2760638.6719    1.2482       100    302.1333    157.525    89.7383    0.25       408.3716      28.6444    0.9973
11.42        0.5448        0.01        1        2753355.4688    1.2527       100    294.2587    150.113    89.7578    0.232       408.4512      28.6444    0.9973
11.98        0.5594        0.01        1        2746067.3828    1.2553       100    284.6084    139.069    89.7689    0.222       408.5342      28.6444    0.9973
12.54        0.5748        0.01        1        2738817.627    1.2593       100    275.4281    131.85    89.7723    0.22       408.6226      28.6444    0.9973
13.1        0.591        0.01        1        2731555.4199    1.2635       100    266.9055    145.243    89.7686    0.225       408.7181      28.6444    0.9973
13.66        0.608        0.01        1        2724289.5508    1.2656       100    260.1225    156.399    89.7618    0.231       408.8212      28.6444    0.9973
14.22        0.6258        0.01        1        2717022.7051    1.2695       100    254.9558    154.16    89.7557    0.238       408.9327      28.6444    0.9973
14.78        0.6445        0.01        1        2709739.7461    1.2748       100    250.4738    146.939    89.7494    0.244       409.0492      28.6444    0.9973
15.34        0.664        0.01        1        2702480.957    1.2777       100    246.6504    135.248    89.7405    0.254       409.1718      28.6444    0.9973
15.9        0.6843        0.01        1        2695225.8301    1.2815       100    243.26    134.705    89.7312    0.264       409.3028      28.6444    0.9973
16.46        0.7055        0.01        1        2687952.8809    1.286       100    240.5416    138.883    89.7217    0.273       409.4434      28.6444    0.9973
