Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
1.02        0.1947        0        1        2844849.8535    1.2043       100    343.8414    17.714    54.129    35.542       408.078      28.4648    0
1.52        0.1956        0        1        2836024.6582    1.2066       100    315.8749    -19.19    71.5434    17.506       407.9667      28.465    0
2.02        0.197        0        1        2829552.2461    1.2094       100    331.8429    6.692    67.9431    20.719       407.6354      28.4649    0
2.52        0.1986        0        1        2823066.4062    1.2124       100    305.8061    -21.333    73.4084    13.246       407.948      28.4656    0
3.02        0.2007        0        1        2816593.9941    1.2143       100    342.5673    8.114    66.1485    19.678       407.7995      28.4665    0
3.52        0.2032        0.01        1        2810105.957    1.2186       100    344.2923    9.726    62.8165    22.897       407.6535      28.4681    0
4.02        0.2064        0.01        1        2803588.3789    1.2231       100    345.6407    18.092    60.0348    26.358       407.4893      28.4702    0
4.52        0.2101        0.01        1        2797100.0977    1.2255       100    346.0677    40.098    58.1021    29.624       407.0843      28.4717    0
5.02        0.2143        0.01        1        2790627.6855    1.2288       100    342.5557    87.093    58.2829    30.287       406.8105      28.471    0
6        0.2238        0.02        1        2779979.7363    1.2348       100    336.2541    140.951    65.1732    23.042       406.69      28.4684    0
6.66        0.2315        0.02        1        2771151.123    1.2384       100    330.0892    148.267    71.1082    17.749       406.8415      28.4673    0
7.32        0.2403        0.02        1        2762622.0703    1.2416       100    326.6881    153.523    75.5412    14.044       406.9795      28.4673    0
7.98        0.25        0.02        1        2754052.9785    1.2451       100    328.4459    165.243    77.0604    12.693       407.0084      28.4676    0
8.62        0.2604        0.02        1        2745492.9199    1.2486       100    329.2079    178.303    77.8465    11.768       407.0492      28.4676    0
9.28        0.2723        0.03        1        2736931.6406    1.253       100    328.5377    187.4    79.0286    10.472       407.1735      28.4673    0
9.94        0.2852        0.03        1        2728354.0039    1.2587       100    328.0999    195.215    80.3863    9.136       407.336      28.4672    0
10.6        0.2996        0.03        1        2719786.1328    1.2628       100    328.2699    201.984    81.5294    8.077       407.4797      28.4671    0
11.26        0.3143        0.03        1        2711240.9668    1.266       100    328.4929    207.263    82.3642    7.308       407.6065      28.467    0
11.92        0.3306        0.04        1        2702664.5508    1.2718       100    328.4849    211.797    83.0333    6.673       407.7386      28.4669    0
12.58        0.348        0.04        1        2694095.7031    1.2752       100    328.4128    216.756    83.6209    6.107       407.8864      28.4669    0
13.24        0.3672        0.04        1        2685550.293    1.279       100    328.4487    222.026    84.1483    5.606       408.0465      28.4668    0.0001
13.9        0.3864        0.04        1        2676981.9336    1.2843       100    328.5472    228.065    84.6177    5.168       408.2124      28.4668    0.0001
14.56        0.4074        0.04        1        2668423.0957    1.2883       100    328.6406    234.148    85.0217    4.793       408.3839      28.4667    0.0001
15.22        0.4297        0.04        1        2659841.7969    1.2932       100    328.672    239.226    85.3751    4.462       408.5619      28.4667    0.0001
15.88        0.454        0.05        1        2651278.3203    1.2986       100    328.6427    244.204    85.6901    4.172       408.7614      28.4667    0.0001
16.54        0.478        0.05        1        2642714.8438    1.3031       100    328.8281    253.022    85.9836    3.925       408.9577      28.4666    0.0001
17.2        0.5041        0.05        1        2634151.3672    1.3075       100    328.7122    265.436    86.2347    3.701       409.1501      28.4666    0.0001
17.86        0.5315        0.05        1        2625593.75    1.3114       100    328.3058    273.59    86.4537    3.487       409.3567      28.4666    0.0001
18.52        0.5612        0.05        1        2617043.457    1.3166       100    327.9613    279.587    86.6559    3.284       409.5846      28.4665    0.0001
19.18        0.5904        0.05        1        2608478.5156    1.321       100    327.7116    287.585    86.8484    3.091       409.829      28.4665    0.0001
19.84        0.6219        0.06        1        2599901.123    1.3277       100    327.5508    296.151    87.0243    2.918       410.0894      28.4665    0.0001
20.5        0.6548        0.06        1        2591315.1855    1.3333       100    327.3382    304.921    87.1874    2.756       410.3556      28.4665    0.0001
21.16        0.6902        0.06        1        2582770.2637    1.3378       100    327.0566    308.504    87.3339    2.61       410.6394      28.4664    0.0001
21.82        0.7249        0.06        1        2574202.8809    1.3441       100    326.7999    316.984    87.4716    2.471       410.9445      28.4664    0.0001
22.48        0.7622        0.06        1        2565624.5117    1.3477       100    326.5721    323.978    87.6014    2.341       411.2579      28.4664    0.0001
23.14        0.8009        0.06        1        2557079.834    1.3527       100    326.2819    -32.401    87.7181    2.223       411.5921      28.4664    0.0001
23.8        0.8424        0.06        1        2548517.0898    1.3585       100    326.0297    -26.95    87.8302    2.109       411.9455      28.4664    0.0001
24.48        0.8842        0.07        1        2539953.8574    1.3635       100    325.8089    -20.732    87.9337    2.007       412.3238      28.4663    0.0002
25.12        0.9262        0.07        1        2531664.3066    1.368       100    325.4678    274.326    88.0309    1.864       412.477      28.4663    0.0002
25.76        0.9698        0.07        1        2523355.7129    1.3753       100    320.1127    236.048    88.0001    0.554       412.2355      28.4662    0.0002
26.4        1.0146        0.07        1        2515021.9727    1.3811       100    308.6282    223.529    87.7388    -2.292       412.3043      28.4662    0.0002
27.04        1.0605        0.07        1        2506735.1074    1.3859       100    303.6595    218.451    87.6323    -7.078       412.9999      28.4661    0.0002
27.66        1.1069        0.07        1        2498434.082    1.3924       100    306.7714    221.603    87.903    -13.813       414.5222      28.4662    0.0002
