Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
1.02        0.1947        0        1        2844835.2051    1.2043       100    96.4776    18.301    29.6289    59.871       409.037      28.4647    0
1.52        0.1954        0        1        2836001.4648    1.2085       100    80.8451    1.213    68.0074    21.013       409.3418      28.4647    0
2.02        0.1966        0        1        2829505.8594    1.2109       100    94.5164    6.085    65.5538    23.019       409.5158      28.4647    0
2.52        0.198        0        1        2823034.1797    1.2134       100    95.0532    3.895    66.5723    21.002       409.3903      28.4647    0
3.02        0.1996        0        1        2816550.0488    1.2163       100    86.4052    -11.129    73.6452    12.509       410.1399      28.4647    0
3.52        0.2017        0        1        2810051.7578    1.2192       100    89.3235    -13.111    66.3461    19.173       411.0264      28.4647    0
4.02        0.2043        0        1        2803555.9082    1.222       100    91.6346    -17.313    62.2756    23.351       411.9505      28.4648    0
4.52        0.2075        0.01        1        2797084.4727    1.2249       100    93.571    -27.821    59.3813    27.043       412.7805      28.4648    0
5.02        0.2113        0.01        1        2790600.3418    1.2278       100    95.6448    -52.417    58.094    29.504       413.2979      28.465    0
5.98        0.22        0.01        1        2779960.9375    1.2481       100    105.3542    -130.693    60.6473    27.527       411.8938      28.4648    0
6.64        0.2235        0.01        1        2740592.2852    0.9993       100    94.5045    -151.879    68.1162    19.544       410.4655      28.4655    0
7.28        0.2238        0.02        1        2738930.4199    0.7499       100    51.2426    -240.484    45.3641    40.633       410.3128      28.466    0
7.92        0.2208        0.02        1        2737276.6113    0.5001       100    43.6451    -265.201    -40.0665    123.379       410.2545      28.466    0
