Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.64        0.1499        0        1        2896217.7734    1.1821       100    200.2664    -111.142    25.2065    64.692       407.0845      28.7512    0.9974
1.1        0.1505        0        1        2889470.7031    1.1846       100    205.9525    193.971    64.9072    24.839       407.0911      28.7512    0.9974
1.54        0.1515        0        1        2883761.7188    1.187       100    210.1745    182.409    77.0023    12.821       407.1786      28.7511    0.9974
2        0.1529        0        1        2877798.3398    1.1889       100    227.5439    39.507    86.1296    3.459       407.2423      28.7511    0.9973
2.46        0.1546        0        1        2871844.4824    1.191       100    231.2439    35.518    88.2698    0.813       407.2127      28.7511    0.9973
2.92        0.1568        0        1        2865868.1641    1.1943       100    205.9685    7.651    86.3023    2.547       407.1396      28.7512    0.9974
3.38        0.1594        0        1        2859888.1836    1.197       100    203.9975    5.229    84.4595    4.342       407.0753      28.7512    0.9974
3.84        0.1624        0        1        2853919.6777    1.2002       100    204.4121    6.49    83.639    5.172       407.0384      28.7513    0.9974
4.84        0.1699        0        2        2843799.0723    0.9637       100    203.599    13.389    83.2858    5.852       406.949      28.7514    0.9974
5.52        0.175        0        2        2836519.7754    0.9674       100    204.7054    21.384    82.1067    6.955       406.9725      28.7514    0.9974
6.24        0.18        0        2        2829261.7188    0.9686       100    201.283    19.192    81.2089    7.784       406.9775      28.7515    0.9974
6.94        0.1848        0.01        2        2822001.4648    0.9712       100    198.5019    16.287    79.8464    9.117       406.9721      28.7516    0.9974
7.64        0.1895        0.01        2        2814527.832    0.9738       100    196.6628    14.26    78.3732    10.577       406.9641      28.7518    0.9974
8.34        0.1941        0.01        2        2807261.9629    0.9758       100    195.3308    12.778    76.9132    12.031       406.9563      28.7519    0.9974
9.04        0.1985        0.01        2        2799996.0938    0.9791       100    194.2414    11.59    75.4265    13.513       406.9487      28.752    0.9974
