Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.88        0.4025        0        1        2890928.9551    1.1847       100    11.0935    -306.665    79.1049    10.782       407.796      28.6444    0.9973
1.38        0.4045        0        1        2883149.1699    1.1897       100    4.006    3.512    82.531    7.121       407.7703      28.6444    0.9973
1.88        0.4068        0        1        2876403.5645    1.1927       100    0.408    -11.787    83.9988    5.731       407.7837      28.6445    0.9973
2.38        0.4096        0        1        2869914.5508    1.1972       100    0.601    -126.877    82.3508    7.542       407.8655      28.6446    0.9973
2.88        0.4129        0        1        2863428.7109    1.2009       100    5.2498    -179.905    82.189    7.084       407.9508      28.6446    0.9973
3.38        0.4167        0        1        2856938.2324    1.2039       100    9.2798    -181.944    83.0336    5.718       407.9287      28.6445    0.9973
3.88        0.421        0        1        2850436.7676    1.2075       100    10.1073    -184.28    86.0694    2.509       407.864      28.6444    0.9973
4.38        0.4258        0        1        2843950.1953    1.2096       100    3.1826    -193.179    88.6208    0.02       407.8035      28.6444    0.9973
4.88        0.4311        0        1        2837478.5156    1.2122       100    264.1726    67.101    89.5994    -0.844       407.7711      28.6444    0.9973
5.76        0.4416        0        1        2827085.4492    1.2189       100    216.9693    21.505    88.7052    0.449       407.6821      28.6445    0.9973
6.34        0.4495        0        1        2819556.3965    1.2229       100    205.3434    17.192    87.1859    2.531       407.7178      28.6445    0.9973
6.92        0.4581        0        1        2812046.6309    1.2248       100    204.0305    128.164    87.306    2.637       407.826      28.6444    0.9973
7.5        0.4674        0        1        2804520.2637    1.2278       100    204.2855    150.633    88.1056    1.838       407.9116      28.6444    0.9973
8.08        0.4775        0        1        2796999.2676    1.2301       100    204.2375    63.716    88.4979    1.483       407.9603      28.6444    0.9973
8.64        0.488        0        1        2789461.4258    1.2346       100    204.1794    25.91    88.5263    1.447       408.0019      28.6444    0.9973
9.2        0.4992        0        1        2782188.4766    1.2389       100    204.3231    81.109    88.4881    1.5       408.0541      28.6444    0.9973
9.76        0.5111        0        1        2774922.6074    1.2419       100    204.3466    151.069    88.5024    1.469       408.1212      28.6444    0.9973
10.32        0.5237        0        1        2767656.4941    1.2458       100    204.2084    157.679    88.567    1.393       408.1968      28.6444    0.9973
10.88        0.5372        0        1        2760390.625    1.2484       100    203.9769    156.413    88.6377    1.324       408.2763      28.6444    0.9973
11.44        0.5513        0        1        2753125.9766    1.2517       100    203.8252    152.241    88.6947    1.272       408.3583      28.6444    0.9973
12        0.5663        0        1        2745877.1973    1.2547       100    203.722    148.982    88.7356    1.234       408.446      28.6444    0.9973
12.56        0.582        0        1        2738606.6895    1.2587       100    203.662    147.618    88.7701    1.201       408.5403      28.6444    0.9973
13.12        0.5986        0        1        2731346.9238    1.2621       100    203.5933    146.763    88.8042    1.168       408.6419      28.6444    0.9973
13.68        0.6159        0        1        2724058.8379    1.2678       100    203.5775    143.8    88.8378    1.137       408.7516      28.6444    0.9973
14.24        0.6341        0        1        2716775.6348    1.2721       100    203.5732    139.856    88.8707    1.106       408.865      28.6444    0.9973
