Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.6        0.1273        0        1        2784693.1152    1.2263       100    215.6534    -63.335    34.1167    55.685       462.4962      5.2394    0.9966
1.06        0.1281        0        1        2778208.252    1.2299       100    218.1783    -83.704    78.7356    11.042       462.4382      5.2394    0.9966
1.52        0.1293        0        1        2772239.7461    1.2331       100    234.6642    -69.565    83.3847    6.47       462.4431      5.2394    0.9966
1.98        0.131        0        1        2766271.2402    1.2366       100    280.5691    74.224    86.3157    3.216       462.4891      5.2394    0.9966
2.44        0.1331        0        1        2760310.791    1.239       100    303.3835    102.582    87.252    1.783       462.4751      5.2394    0.9966
2.9        0.1358        0        1        2754354.4922    1.2416       100    265.4714    64.618    87.8518    0.906       462.416      5.2394    0.9966
3.36        0.139        0        1        2748374.5117    1.2453       100    232.1482    31.282    86.9168    1.779       462.3519      5.2396    0.9966
3.82        0.1427        0        1        2742397.7051    1.2481       100    222.46    22.362    86.0227    2.715       462.3093      5.2398    0.9966
4.28        0.1469        0        1        2736431.8848    1.2513       100    218.9044    19.996    85.6287    3.158       462.2911      5.2399    0.9966
5.06        0.1552        0        1        2727366.4551    1.2543       100    215.2427    12.593    85.4142    4.009       462.1851      5.2413    0.9966
5.62        0.1621        0        1        2720095.2148    1.258       100    207.9518    196.114    83.6253    5.811       462.196      5.241    0.9966
6.18        0.1698        0        1        2712832.7637    1.2625       100    211.1338    193.097    84.6665    4.143       462.3216      5.2401    0.9966
6.74        0.1783        0        1        2705565.4297    1.2659       100    217.2936    197.596    86.4706    2.233       462.4806      5.2396    0.9966
7.3        0.1877        0        1        2698295.166    1.2705       100    224.6605    205.419    87.7566    1.031       462.5928      5.2395    0.9966
7.84        0.1975        0        1        2690998.291    1.2751       100    233.1041    214.75    88.435    0.393       462.6794      5.2394    0.9966
8.38        0.208        0        1        2683996.582    1.2778       100    243.7571    225.389    88.7936    -0.005       462.7672      5.2393    0.9966
8.92        0.2194        0        1        2676984.375    1.2822       100    261.0221    240.889    89.0535    -0.223       462.8994      5.2394    0.9966
9.44        0.2311        0        1        2670249.5117    1.2834       100    309.5866    285.532    89.0945    0.189       463.0311      5.2396    0.9966
9.96        0.2429        0        1        2664288.5742    1.2212       100    337.2498    295.833    88.8327    1.015       463.0676      5.2396    0.9966
10.48        0.2549        0        1        2658885.2539    1.1605       100    340.1893    149.275    88.8711    0.896       463.0481      5.2395    0.9966
11        0.2669        0        1        2653477.2949    1.0982       100    328.3951    127.901    89.1336    0.581       463.0023      5.2394    0.9966
11.52        0.279        0        1        2648091.7969    1.0362       100    303.1874    94.13    89.3006    0.604       462.9735      5.2394    0.9966
12.04        0.2912        0        1        2642698.2422    1.0385       100    288.5663    274.523    89.2917    0.612       462.9899      5.2394    0.9966
12.56        0.3035        0        1        2637308.8379    1.0394       100    296.3386    276.269    89.2766    0.578       463.0237      5.2394    0.9966
13.08        0.3159        0        1        2631918.457    1.042       100    308.3502    285.979    89.2506    0.659       463.05      5.2394    0.9966
13.6        0.3284        0        1        2626498.5352    1.0464       100    313.6842    285.577    89.2365    0.743       463.0627      5.2394    0.9966
14.12        0.341        0        1        2621093.2617    1.0485       100    312.784    121.387    89.2509    0.733       463.0687      5.2394    0.9966
14.64        0.3538        0        1        2615708.9844    1.0512       100    309.493    116.94    89.2726    0.709       463.0774      5.2394    0.9966
15.16        0.3667        0.01        1        2610313.2324    1.0533       100    306.909    126.325    89.2889    0.702       463.0898      5.2394    0.9966
15.68        0.3798        0.01        1        2604927.002    1.0536       100    305.8752    173.478    89.2989    0.697       463.1051      5.2394    0.9966
16.2        0.393        0.01        1        2599531.4941    1.0568       100    305.6877    175.284    89.3064    0.69       463.1221      5.2394    0.9966
16.72        0.4063        0.01        1        2594133.5449    1.0593       100    305.4961    138.511    89.3151    0.678       463.1386      5.2394    0.9966
17.24        0.4199        0.01        1        2588735.8398    1.0623       100    304.9034    123.841    89.3243    0.667       463.1557      5.2394    0.9966
17.76        0.4335        0.01        1        2583339.1113    1.0651       100    304.0151    120.029    89.3345    0.656       463.1732      5.2394    0.9966
18.28        0.4474        0.01        1        2577937.5    1.0681       100    303.0417    119.023    89.3441    0.647       463.1935      5.2394    0.9966
18.8        0.4615        0.01        1        2572515.8691    1.0717       100    302.1917    119.822    89.3541    0.638       463.2134      5.2394    0.9966
19.32        0.4757        0.01        1        2567124.5117    1.0727       100    301.3989    119.397    89.3631    0.63       463.2331      5.2394    0.9966
19.84        0.4901        0.01        1        2561750    1.0751       100    300.6805    117.057    89.3714    0.622       463.2553      5.2394    0.9966
20.36        0.5048        0.01        1        2556348.877    1.077       100    299.9344    116.471    89.3802    0.614       463.2783      5.2394    0.9966
20.88        0.5196        0.01        1        2550955.5664    1.0785       100    299.1795    114.267    89.3886    0.606       463.3028      5.2394    0.9966
21.4        0.5347        0.01        1        2545546.1426    1.0836       100    298.4097    114.878    89.3968    0.598       463.3298      5.2394    0.9966
21.92        0.55        0.01        1        2540128.9062    1.087       100    297.6639    116.306    89.4056    0.59       463.3561      5.2394    0.9966
22.44        0.5655        0.01        1        2534740.9668    1.0885       100    296.9349    118.556    89.4134    0.583       463.3836      5.2394    0.9966
22.96        0.5812        0.01        1        2529349.6094    1.0914       100    296.2057    120.178    89.4212    0.575       463.4133      5.2394    0.9966
