Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.62        0.1282        0        1        2784666.0156    1.2274       100    221.2186    220.85    52.1449    -52.017       462.5311      5.2394    0.9966
1.06        0.1289        0        1        2778178.2227    1.231       100    220.7906    218.27    82.2674    -82.09       462.5008      5.2394    0.9966
1.52        0.1301        0        1        2772195.5566    1.2347       100    225.3394    218.684    84.7496    -84.525       462.4624      5.2394    0.9966
1.98        0.1319        0        1        2766225.0977    1.2374       100    229.1393    216.519    85.6068    -85.345       462.478      5.2394    0.9966
2.44        0.1341        0        1        2760283.9355    1.2389       100    224.5136    205.447    86.4543    -86.151       462.395      5.2394    0.9966
2.9        0.1367        0        1        2754324.707    1.2417       100    235.2333    208.094    86.3291    -85.997       462.3372      5.2394    0.9966
3.36        0.1399        0        1        2748341.5527    1.2443       100    239.9705    202.828    86.3866    -86.052       462.3064      5.2394    0.9966
3.82        0.1436        0        1        2742368.6523    1.2477       100    241.6202    192.485    86.555    -86.254       462.2901      5.2394    0.9966
4.28        0.1477        0        1        2736400.1465    1.252       100    242.3782    179.249    86.7457    -86.518       462.2837      5.2394    0.9966
5.06        0.156        0        1        2727317.8711    1.2557       100    243.6863    152.291    87.0517    -87.024       462.3018      5.2394    0.9966
5.62        0.1628        0        1        2720051.7578    1.2591       100    245.1098    129.96    87.353    -87.507       462.353      5.2394    0.9966
6.18        0.1704        0        1        2712787.5977    1.2623       100    246.0418    104.298    87.7166    -88.038       462.4425      5.2394    0.9966
6.74        0.1788        0        1        2705538.8184    1.2653       100    244.5833    73.451    88.1254    -88.541       462.5654      5.2394    0.9966
7.3        0.188        0        1        2698267.8223    1.2692       100    237.1572    33.881    88.5153    -88.9       462.7202      5.2395    0.9966
7.84        0.1977        0        1        2691008.0566    1.2726       100    220.3645    -17.766    88.7303    -88.935       462.8566      5.2396    0.9966
8.38        0.2081        0        1        2683979.4922    1.2782       100    202.2653    -72.006    88.6303    -88.556       462.9503      5.2398    0.9966
8.92        0.2193        0        1        2676955.5664    1.2822       100    193.6696    -117.701    88.3104    -87.953       462.9739      5.2402    0.9966
9.44        0.2313        0        1        2670234.375    1.2837       100    193.9793    -158.245    87.9624    -87.458       462.9359      5.2404    0.9966
9.96        0.2431        0        1        2663500.4883    1.2877       100    198.8314    165.063    87.734    -87.301       462.8815      5.2405    0.9966
10.48        0.2562        0        1        2656725.5859    1.2911       100    205.3792    127.943    87.6871    -87.537       462.8758      5.2404    0.9966
11        0.27        0.01        1        2649968.9941    1.2944       100    211.19    88.021    87.8374    -88.044       462.9756      5.2402    0.9966
11.52        0.2845        0.01        1        2643238.5254    1.2991       100    213.0569    44.016    88.1294    -88.545       463.188      5.2401    0.9966
12.04        0.2999        0.01        1        2636493.6523    1.3025       100    206.8706    -11.804    88.4023    -88.717       463.4411      5.2403    0.9966
12.56        0.316        0.01        1        2629746.582    1.3045       100    194.4564    -75.763    88.4146    -88.362       463.6197      5.2408    0.9966
13.08        0.3329        0.01        1        2623000.2441    1.3085       100    187.8271    -135.793    88.1434    -87.723       463.6498      5.2415    0.9966
13.6        0.3506        0.01        1        2616268.5547    1.312       100    190.3687    171.545    87.8431    -87.369       463.5796      5.2419    0.9966
14.12        0.3692        0.01        1        2609520.9961    1.3165       100    197.4556    121.677    87.7348    -87.595       463.5661      5.2415    0.9966
14.64        0.3886        0.01        1        2602759.2773    1.3206       100    204.0277    69.595    87.8918    -88.189       463.744      5.2411    0.9966
15.16        0.4088        0.01        1        2596010.2539    1.325       100    204.3738    9.648    88.2056    -88.614       464.0855      5.241    0.9966
15.68        0.4299        0.01        1        2589247.0703    1.3305       100    194.8067    -61.788    88.3718    -88.429       464.3864      5.2418    0.9966
16.2        0.4518        0.01        1        2582505.8594    1.3327       100    186.1318    -133.843    88.174    -87.774       464.4663      5.243    0.9966
16.72        0.4746        0.01        1        2575770.9961    1.3363       100    188.0145    163.196    87.8683    -87.42       464.3866      5.2434    0.9966
17.24        0.4983        0.01        1        2569020.752    1.3406       100    195.6325    104.561    87.7825    -87.774       464.4189      5.2427    0.9966
17.76        0.5229        0.01        1        2562257.8125    1.3444       100    201.5708    42.901    88.0002    -88.405       464.7391      5.242    0.9966
18.28        0.5484        0.01        1        2555516.6016    1.3492       100    198.1174    -29.427    88.3023    -88.569       465.1856      5.2425    0.9966
18.8        0.5748        0.02        1        2548763.6719    1.3537       100    187.197    -110.439    88.2832    -88.021       465.4164      5.2441    0.9966
19.32        0.6022        0.02        1        2542022.9492    1.3571       100    185.2117    176.316    87.9754    -87.49       465.3621      5.2451    0.9966
19.84        0.6304        0.02        1        2535269.5312    1.361       100    192.2479    110.981    87.8123    -87.73       465.3591      5.2442    0.9966
20.36        0.6596        0.02        1        2528536.1328    1.3647       100    199.2419    44.567    87.9884    -88.383       465.72      5.2431    0.9966
20.88        0.6898        0.02        1        2521795.6543    1.3687       100    196.7148    -32.348    88.3002    -88.558       466.2616      5.2437    0.9966
21.4        0.7209        0.02        1        2515048.584    1.3733       100    185.9114    -118.455    88.2815    -87.977       466.5231      5.2459    0.9966
21.94        0.7543        0.02        1        2508301.7578    1.3777       100    184.866    161.382    87.9718    -87.528       466.4473      5.2469    0.9966
22.54        0.794        0.02        1        2501047.3633    1.3826       100    193.0374    77.663    87.8587    -88.023       466.5978      5.245    0.9966
23.16        0.835        0.02        1        2493008.0566    1.3884       100    198.5341    -9.756    88.1734    -88.552       467.3152      5.2445    0.9966
23.8        0.8775        0.02        1        2484965.8203    1.3933       100    187.6628    -114.461    88.3498    -88.082       467.794      5.2477    0.9966
24.42        0.9215        0.03        1        2476916.0156    1.3989       100    184.1408    147.347    88.0082    -87.613       467.7204      5.2488    0.9966
25.02        0.9655        0.03        1        2468877.1973    1.4058       100    193.8664    64.764    87.9174    -88.195       468.0302      5.2461    0.9966
25.66        1.014        0.03        1        2461074.4629    1.4116       100    197.1715    -31.038    88.2637    -88.523       468.9295      5.2464    0.9966
26.3        1.0641        0.03        1        2452769.043    1.4179       100    184.5498    -146.438    88.327    -87.907       469.2891      5.2506    0.9966
26.96        1.1175        0.03        1        2444205.8105    1.4238       100    186.077    111.823    87.958    -87.811       469.2493      5.2498    0.9966
27.62        1.1728        0.03        1        2435629.1504    1.4308       100    196.6475    18.772    88.0695    -88.492       470.0369      5.2468    0.9966
28.28        1.2298        0.04        1        2427063.7207    1.436       100    190.9938    -87.57    88.425    -88.309       470.938      5.2505    0.9966
