Time     Altitude  Dwnrg Dst    Stage     Mass           TWR     Throt      AZ(cmd)     HOR AOA      Pitch   Vert AOA       Orbvel		   Incl       Ecctr
24.96       2.1164     0.11      1    1686653.9307    1.9298       100    107.8139    0    82.5747    0       466.2753      28.7537    0.997
25.56       2.2233     0.11      1    1679460.4492    1.9222       100    109.5603    0    81.7284    0       470.7958      28.7628    0.997
26.16       2.333     0.12      1    1672329.9561    1.9122       100    110.9548    0    80.8669    0       475.4641      28.774    0.9969
26.76       2.4452     0.14      1    1665241.5771    1.9015       100    112.0888    0    79.9905    0       480.2347      28.7873    0.9969
27.36       2.56     0.15      1    1658237.1826    1.8942       100    113.0241    0    79.1041    0       485.1292      28.8029    0.9968
27.96       2.6773     0.17      1    1651273.8037    1.89       100    113.813    0    78.2081    0       490.1444      28.821    0.9968
28.58       2.8012     0.2      1    1644355.3467    1.8871       100    114.4911    0    77.3042    0       495.6602      28.8433    0.9967
29.24       2.9359     0.23      1    1636754.8828    1.8869       100    115.1157    0    76.3297    0       501.371      28.8691    0.9967
29.88       3.0695     0.26      1    1629428.1006    1.89       100    115.6598    0    75.3242    0       507.0962      28.8969    0.9966
30.52       3.2058     0.29      1    1622129.6387    1.8923       100    116.1082    0    74.3829    0       512.7151      28.9254    0.9965
31.16       3.345     0.33      1    1614895.1416    1.894       100    116.4748    0    73.5329    0       518.3079      28.9552    0.9965
31.78       3.4825     0.38      1    1607707.0312    1.894       100    116.7868    0    72.741    0       523.9092      28.9863    0.9964
32.42       3.6273     0.42      1    1600547.6074    1.894       100    117.0584    0    71.9962    0       529.4867      29.0185    0.9964
33.06       3.7749     0.47      1    1593445.3125    1.8935       100    117.2956    0    71.3012    0       535.0384      29.0513    0.9963
33.7       3.9253     0.52      1    1586380.3711    1.8933       100    117.5037    0    70.6564    0       540.5258      29.0847    0.9962
34.34       4.0787     0.58      1    1579398.1934    1.8912       100    117.6865    0    70.0588    0       545.9968      29.1185    0.9962
34.98       4.235     0.64      1    1572436.5234    1.8901       100    117.8492    0    69.5038    0       551.4638      29.1529    0.9961
35.62       4.3941     0.7      1    1565515.2588    1.889       100    117.9955    0    68.9877    0       556.8767      29.1875    0.9961
36.26       4.5562     0.76      1    1558662.4756    1.8864       100    118.1275    0    68.5074    0       562.2523      29.2223    0.996
36.9       4.7212     0.83      1    1551841.4307    1.8879       100    118.2478    0    68.0601    0       567.6192      29.2574    0.9959
37.54       4.8891     0.9      1    1545039.6729    1.8875       100    118.3584    0    67.6415    0       572.9197      29.2927    0.9959
38.1       5.0438     0.96      1    1538496.7041    1.8871       100    118.46    0    67.2474    0       577.4915      29.3233    0.9958
38.66       5.1898     1.02      1    1532616.0889    1.8888       100    118.5419    0    66.9269    0       581.8839      29.3533    0.9958
39.2       5.3378     1.08      1    1526961.792    1.89       100    118.6185    0    66.6235    0       586.3008      29.3842    0.9957
39.74       5.4878     1.15      1    1521331.7871    1.8909       100    118.6918    0    66.3131    0       590.6884      29.4156    0.9957
40.28       5.6397     1.22      1    1515750.6104    1.8911       100    118.7619    0    65.999    0       595.0866      29.4477    0.9956
40.82       5.7935     1.29      1    1510169.4336    1.8937       100    118.829    0    65.6863    0       599.5184      29.4805    0.9956
41.36       5.9491     1.36      1    1504590.0879    1.8957       100    118.8936    0    65.3757    0       603.9144      29.5136    0.9955
41.9       6.1065     1.43      1    1499076.5381    1.8953       100    118.955    0    65.0648    0       608.2846      29.5473    0.9955
