Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.64        0.1496        0        1        2896197.7539    1.1835       100    193.5189    -138.599    30.2509    59.61       407.1723      28.7512    0.9974
1.1        0.1503        0        1        2889465.0879    1.1843       100    199.3203    193.946    68.8671    20.818       407.173      28.7511    0.9974
1.54        0.1513        0        1        2883761.7188    1.1868       100    205.5653    191.436    80.2158    9.577       407.2456      28.7511    0.9973
2        0.1526        0        1        2877797.8516    1.1882       100    249.6645    56.403    88.4205    1.189       407.3004      28.7511    0.9973
2.46        0.1544        0        1        2871843.9941    1.1901       100    320.5284    123.488    89.3294    -0.237       407.268      28.7511    0.9973
2.92        0.1566        0        1        2865868.6523    1.1943       100    203.8347    5.096    87.746    1.107       407.1959      28.7512    0.9974
3.38        0.1591        0        1        2859888.1836    1.197       100    202.3101    3.46    85.6428    3.16       407.1334      28.7512    0.9974
3.84        0.1621        0        1        2853919.4336    1.2002       100    203.1301    5.28    84.6511    4.158       407.0975      28.7512    0.9974
4.84        0.1696        0        2        2843799.0723    0.9637       100    202.5168    12.82    84.1226    5       407.0084      28.7513    0.9974
5.52        0.1747        0        2        2836533.2031    0.9662       100    203.8226    20.97    82.9331    6.103       407.0324      28.7514    0.9974
6.24        0.1797        0        2        2829262.6953    0.9694       100    200.0149    18.496    82.0334    6.925       407.0382      28.7515    0.9974
6.94        0.1845        0        2        2821987.0605    0.9714       100    197.0435    15.587    80.6746    8.245       407.0336      28.7516    0.9974
7.64        0.1892        0.01        2        2814543.2129    0.9736       100    195.1149    13.646    79.134    9.765       407.0271      28.7517    0.9974
8.34        0.1937        0.01        2        2807272.9492    0.9761       100    193.7326    12.325    77.6343    11.249       407.0214      28.7518    0.9974
9.04        0.1981        0.01        2        2800006.3477    0.9789       100    192.5921    11.274    76.0892    12.78       407.0169      28.752    0.9974
9.74        0.2025        0.01        2        2792713.8672    0.9821       100    191.6199    10.385    74.5739    14.281       407.0124      28.7521    0.9974
