Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.9        0.4005        0        1        2890702.3926    1.1875       100    9.961    -177.036    86.5698    3.312       407.739      28.6443    0.9973
1.4        0.4015        0        1        2882656.7383    1.1916       100    207.7706    23.006    89.4165    0.448       407.7302      28.6443    0.9973
1.9        0.403        0        1        2875893.3105    1.1953       100    195.1549    16.11    88.1967    1.7       407.729      28.6443    0.9973
2.4        0.405        0        1        2869413.0859    1.198       100    193.2416    10.509    87.9338    1.892       407.7613      28.6443    0.9973
2.9        0.4074        0        1        2862937.2559    1.2011       100    183.2547    -9.025    88.7271    0.653       407.7908      28.6443    0.9973
3.4        0.4104        0        1        2856449.707    1.2034       100    176.1578    -19.14    88.5333    0.471       407.7625      28.6444    0.9973
3.9        0.4138        0        1        2849962.4023    1.2057       100    186.0599    -10.702    87.0273    1.795       407.7051      28.6444    0.9973
4.4        0.4178        0        1        2843477.7832    1.2089       100    191.0647    -6.085    85.6037    3.186       407.6552      28.6445    0.9973
4.9        0.4222        0        1        2837006.3477    1.2113       100    193.4582    -3.251    84.8087    3.999       407.6282      28.6446    0.9973
5.78        0.4313        0        1        2826622.5586    1.2169       100    194.6956    -0.035    84.3266    4.786       407.5318      28.6449    0.9973
6.36        0.4382        0        1        2819098.877    1.2212       100    195.1245    7.91    82.7913    6.92       407.5609      28.645    0.9973
6.92        0.4458        0        1        2811574.9512    1.2237       100    194.7559    127.651    83.3149    6.617       407.6631      28.6448    0.9973
7.52        0.4541        0        1        2804045.4102    1.2274       100    193.8224    142.485    84.5851    5.344       407.7474      28.6448    0.9973
8.08        0.4632        0.01        1        2796525.8789    1.231       100    193.1479    51.646    85.3658    4.605       407.794      28.6448    0.9973
8.66        0.4727        0.01        1        2788984.8633    1.2348       100    193.2361    17.001    85.6615    4.291       407.8299      28.6448    0.9973
9.22        0.483        0.01        1        2781714.5996    1.2387       100    193.609    35.641    85.8019    4.169       407.875      28.6448    0.9973
9.78        0.4939        0.01        1        2774462.4023    1.2409       100    193.8269    106.931    85.9767    3.999       407.9362      28.6448    0.9973
10.34        0.5056        0.01        1        2767198.4863    1.2452       100    193.8149    130.481    86.2013    3.765       408.0075      28.6448    0.9973
10.9        0.5181        0.01        1        2759916.9922    1.2482       100    193.7455    130.824    86.4273    3.54       408.0817      28.6448    0.9973
11.46        0.5313        0.01        1        2752653.8086    1.2513       100    193.7225    124.499    86.6179    3.353       408.1578      28.6448    0.9973
12.02        0.5453        0.01        1        2745404.541    1.2554       100    193.7715    118.151    86.7764    3.198       408.2403      28.6448    0.9973
12.58        0.5601        0.01        1        2738125.9766    1.2593       100    193.8302    116.48    86.9187    3.057       408.3297      28.6448    0.9973
13.14        0.5757        0.01        1        2730853.0273    1.2627       100    193.876    116.273    87.05    2.927       408.4251      28.6448    0.9973
13.7        0.5921        0.01        1        2723576.1719    1.2678       100    193.9355    115.868    87.1723    2.806       408.5271      28.6448    0.9973
14.26        0.6093        0.01        1        2716302.9785    1.2716       100    194.0216    112.282    87.287    2.693       408.6349      28.6448    0.9973
14.82        0.6274        0.01        1        2709039.0625    1.2749       100    194.1005    107.292    87.3913    2.59       408.75      28.6448    0.9973
15.38        0.6462        0.02        1        2701774.9023    1.2779       100    194.1921    101.924    87.4885    2.495       408.8706      28.6448    0.9973
15.94        0.666        0.02        1        2694523.1934    1.2807       100    194.2871    96.652    87.5769    2.408       408.9994      28.6448    0.9973
16.5        0.6866        0.02        1        2687257.3242    1.2849       100    194.4218    89.286    87.6625    2.323       409.1368      28.6448    0.9973
17.06        0.7081        0.02        1        2679991.4551    1.2884       100    194.516    84.611    87.7415    2.246       409.2816      28.6448    0.9973
17.62        0.7305        0.02        1        2672725.5859    1.2931       100    194.6335    78.005    87.8161    2.173       409.4342      28.6448    0.9973
18.18        0.7538        0.02        1        2665459.7168    1.2973       100    194.774    70.877    87.8864    2.103       409.5941      28.6449    0.9973
18.74        0.778        0.02        1        2658206.0547    1.3004       100    194.9235    67.198    87.9517    2.038       409.7623      28.6449    0.9973
19.3        0.8031        0.02        1        2650944.3359    1.3051       100    195.079    64.683    88.0131    1.977       409.9446      28.6449    0.9973
19.86        0.8292        0.02        1        2643645.9961    1.3104       100    195.2141    59.674    88.0731    1.917       410.1335      28.6449    0.9973
20.42        0.8562        0.02        1        2636384.7656    1.3134       100    195.3695    61.125    88.1287    1.863       410.3269      28.6449    0.9973
20.98        0.8842        0.02        1        2629149.1699    1.3179       100    195.5346    60.105    88.1793    1.813       410.5349      28.6449    0.9973
21.54        0.9132        0.02        1        2621867.4316    1.3232       100    195.7052    56.591    88.2304    1.761       410.7564      28.6449    0.9973
22.1        0.9432        0.03        1        2614578.125    1.3264       100    195.8822    55.973    88.2792    1.712       410.9841      28.6449    0.9973
22.66        0.9742        0.03        1        2607318.3594    1.332       100    196.0476    57.045    88.3236    1.669       411.2246      28.6449    0.9973
23.22        1.0062        0.03        1        2600047.3633    1.3368       100    196.2134    50.222    88.3675    1.626       411.4729      28.6449    0.9973
23.78        1.0392        0.03        1        2592798.584    1.339       100    196.3936    42.868    88.4085    1.586       411.7335      28.6449    0.9973
24.34        1.0733        0.03        1        2585534.4238    1.3433       100    196.597    50.505    88.4471    1.549       412.0062      28.6449    0.9973
24.9        1.1084        0.03        1        2578268.5547    1.3477       100    196.8132    62.602    88.4841    1.512       412.2919      28.6449    0.9973
25.46        1.1447        0.03        1        2571005.3711    1.3521       100    197.0248    57.771    88.5217    1.474       412.5877      28.6449    0.9973
26.16        1.1915        0.03        1        2563237.5488    1.3579       100    197.2417    123.299    88.5582    1.378       412.8462      28.6449    0.9973
26.84        1.2386        0.03        1        2554409.4238    1.3632       100    201.3492    133.174    88.5113    0.732       413.0017      28.645    0.9974
27.52        1.2873        0.04        1        2545582.7637    1.3701       100    207.0349    139.097    88.3993    -0.303       413.5493      28.645    0.9974
28.2        1.3377        0.04        1        2536728.7598    1.3765       100    204.3318    136.442    88.5296    -1.551       414.4072      28.6448    0.9973
28.88        1.3898        0.04        1        2527937.9883    1.3811       100    192.8082    124.922    88.8024    -2.832       415.4124      28.6446    0.9973
29.58        1.4452        0.04        1        2519117.4316    1.3879       100    171.4107    103.54    89.0213    -4.093       416.6255      28.6443    0.9973
30.32        1.5058        0.04        1        2509780.5176    1.3934       100    138.5978    70.745    89.0232    -4.958       418.3981      28.6441    0.9973
31.04        1.5668        0.04        1        2500401.8555    1.4007       100    103.2573    35.403    88.458    -4.157       420.1305      28.644    0.9973
31.76        1.6299        0.04        1        2491063.7207    1.4088       100    90.6517    22.823    87.7642    -3.145       421.5044      28.644    0.9973
32.48        1.6949        0.04        1        2481718.75    1.4143       100    86.1005    18.257    87.3226    -2.675       422.882      28.6441    0.9973
33.2        1.7621        0.04        1        2472373.5352    1.4212       100    83.0757    15.218    86.9094    -2.336       424.3836      28.6443    0.9973
33.92        1.8314        0.04        1        2463036.1328    1.4274       100    80.6522    12.79    86.452    -1.886       425.9514      28.6445    0.9973
34.64        1.9028        0.04        1        2453695.5566    1.4338       100    78.833    10.974    85.9984    -1.386       427.5224      28.6449    0.9972
35.36        1.9764        0.04        1        2444348.6328    1.4411       100    77.4895    9.625    85.588    -0.933       429.0974      28.6453    0.9972
36.08        2.0523        0.04        1        2435007.0801    1.4483       100    76.4703    8.622    85.2165    -0.541       430.6993      28.6458    0.9972
36.8        2.1304        0.04        1        2425679.4434    1.4543       100    75.6454    7.806    84.8695    -0.178       432.3346      28.6463    0.9972
37.42        2.1995        0.05        1        2416602.5391    1.461       100    74.9392    7.073    84.5417    0.146       433.7243      28.6468    0.9972
38.04        2.2703        0.05        1        2408576.1719    1.4669       100    74.4327    6.344    84.301    0.232       435.1233      28.6474    0.9972
38.66        2.3429        0.06        1        2400511.9629    1.4748       100    74.0021    5.716    84.085    0.177       436.652      28.648    0.9972
39.28        2.4172        0.06        1        2392449.2188    1.482       100    73.6413    5.311    83.8301    0.171       438.2593      28.6487    0.9972
39.9        2.4933        0.07        1        2384422.8516    1.4883       100    73.3084    5.034    83.5525    0.21       439.9205      28.6496    0.9972
40.5        2.5688        0.08        1        2376376.2207    1.496       100    72.9935    4.781    83.2785    0.232       441.585      28.6505    0.9971
41.1        2.6459        0.09        1        2368574.2188    1.5008       100    72.6944    4.501    83.0148    0.224       443.295      28.6515    0.9971
41.7        2.7248        0.1        1        2360814.209    1.5057       100    72.4196    4.24    82.7467    0.213       445.0812      28.6527    0.9971
42.3        2.8054        0.11        1        2353042.4805    1.5131       100    72.165    3.999    82.4663    0.208       446.9377      28.654    0.9971
42.9        2.8878        0.12        1        2345256.3477    1.5187       100    71.9274    3.749    82.1845    0.2       448.866      28.6554    0.9971
43.5        2.972        0.13        1        2337468.9941    1.5256       100    71.7008    3.508    81.8941    0.199       450.8595      28.657    0.9971
44.1        3.058        0.14        1        2329689.4531    1.5341       100    71.502    3.325    81.6008    0.197       452.9343      28.6588    0.9971
44.7        3.1459        0.15        1        2321889.1602    1.5415       100    71.3179    3.176    81.3006    0.194       455.0717      28.6607    0.997
45.3        3.2356        0.17        1        2314099.8535    1.549       100    71.1418    3.032    80.9986    0.183       457.2745      28.6629    0.997
45.9        3.3272        0.18        1        2306331.2988    1.5544       100    70.9713    2.877    80.6901    0.176       459.557      28.6652    0.997
46.5        3.4208        0.2        1        2298541.5039    1.5629       100    70.8097    2.723    80.3762    0.17       461.9255      28.6679    0.997
47.1        3.5162        0.21        1        2290744.873    1.569       100    70.6598    2.581    80.058    0.166       464.3582      28.6707    0.997
47.7        3.6136        0.23        1        2282969.2383    1.5751       100    70.5206    2.452    79.7354    0.159       466.8618      28.6738    0.9969
48.3        3.7129        0.25        1        2275193.3594    1.5838       100    70.3904    2.336    79.4088    0.151       469.4549      28.6772    0.9969
48.9        3.8143        0.27        1        2267407.2266    1.5894       100    70.2665    2.224    79.078    0.145       472.1272      28.6808    0.9969
49.5        3.9176        0.29        1        2259616.6992    1.5979       100    70.1483    2.111    78.7419    0.141       474.8873      28.6848    0.9969
50.1        4.023        0.31        1        2251820.3125    1.6065       100    70.0383    2.007    78.4031    0.134       477.7191      28.6891    0.9969
50.7        4.1304        0.34        1        2244035.4004    1.6136       100    69.9348    1.909    78.0603    0.129       480.6359      28.6938    0.9968
51.3        4.2398        0.36        1        2236250.4883    1.6218       100    69.8371    1.818    77.7131    0.127       483.6338      28.6988    0.9968
51.9        4.3514        0.38        1        2228465.5762    1.6284       100    69.7455    1.73    77.3632    0.12       486.7122      28.7042    0.9968
52.5        4.465        0.41        1        2220683.3496    1.6355       100    69.6585    1.645    77.0108    0.113       489.8667      28.71    0.9967
53.1        4.5807        0.44        1        2212915.5273    1.643       100    69.5768    1.568    76.6541    0.107       493.1231      28.7162    0.9967
