Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.64        0.1496        0        1        2896205.5664    1.1834       100    185.0081    179.098    34.2875    55.604       407.2239      28.7512    0.9973
1.1        0.1503        0        1        2889442.3828    1.1859       100    193.1145    170.729    70.9989    18.656       407.2572      28.7511    0.9973
1.56        0.1513        0        1        2883480.7129    1.1873       100    191.9056    160.748    82.4183    7.328       407.3568      28.7511    0.9973
2.02        0.1527        0        1        2877524.4141    1.1895       100    59.4726    -126.122    89.0249    0.599       407.4192      28.7511    0.9973
2.48        0.1545        0        1        2871555.1758    1.1918       100    47.0706    -148.73    88.0267    1.071       407.383      28.7511    0.9973
2.94        0.1567        0        1        2865572.2656    1.1947       100    158.24    -40.167    88.5121    0.342       407.3053      28.7511    0.9973
3.4        0.1593        0        1        2859601.5625    1.1975       100    187.9641    -10.714    86.502    2.301       407.24      28.7512    0.9973
3.86        0.1623        0        1        2853648.1934    1.1997       100    194.1443    -3.541    85.4197    3.392       407.2043      28.7512    0.9974
4.86        0.1698        0        2        2843530.2734    0.9638       100    196.0107    6.041    84.8382    4.249       407.1195      28.7513    0.9974
5.58        0.1751        0        2        2836056.6406    0.9664       100    198.1401    13.944    83.5959    5.406       407.1396      28.7514    0.9974
6.28        0.1801        0        2        2828775.6348    0.9695       100    194.7105    11.46    82.6136    6.314       407.1404      28.7514    0.9974
7        0.1851        0        2        2821322.2656    0.9707       100    192.4293    8.951    81.1523    7.734       407.1309      28.7515    0.9974
7.7        0.1899        0.01        2        2813854.7363    0.974       100    191.1785    7.41    79.6015    9.259       407.1197      28.7517    0.9974
8.4        0.1945        0.01        2        2806577.8809    0.9766       100    190.3257    6.34    78.0846    10.756       407.1081      28.7518    0.9974
9.1        0.199        0.01        2        2799300.293    0.9794       100    189.6706    5.509    76.523    12.299       407.0968      28.7519    0.9974
9.82        0.2034        0.01        2        2792037.8418    0.9827       100    189.126    4.799    74.9205    13.882       407.0848      28.7521    0.9974
10.48        0.2074        0.01        2        2784572.2656    0.9846       100    188.691    4.197    73.2631    15.77       407.0641      28.7525    0.9974
11.16        0.2115        0.01        2        2777708.0078    0.9878       100    187.8331    3.782    69.9118    19.839       407.0454      28.7527    0.9974
11.82        0.2154        0.01        2        2770864.0137    0.9888       100    187.9108    168.366    68.6868    21.156       407.0626      28.7525    0.9974
12.48        0.2192        0.01        2        2764020.2637    0.9921       100    187.9776    162.92    69.7785    20.093       407.09      28.7523    0.9974
13.12        0.223        0.02        2        2757182.6172    0.9939       100    187.5188    118.273    70.26    19.72       407.0949      28.7524    0.9974
13.78        0.2267        0.02        2        2750322.5098    0.997       100    187.2896    22.207    69.8409    20.148       407.0848      28.7524    0.9974
14.44        0.2306        0.02        2        2743452.3926    1.0002       100    187.3976    160.077    69.3502    20.617       407.0796      28.7524    0.9974
15.1        0.2343        0.02        2        2736604.0039    1.0032       100    187.4605    155.939    69.0966    20.843       407.0841      28.7524    0.9974
15.76        0.2381        0.02        2        2729758.5449    1.0057       100    187.3405    146.356    69.0764    20.866       407.0919      28.7524    0.9974
