Time,Lat,Lng,Altitude,Dwnrg Dst,Stage,Mass,TWR,Throt,AZ(cmd),HAOA,Pitch,VAOA,Surfvel,Orbvel,Vspeed,Dwnrg surfvel,Incl,Ecctr,
0.819999999570427,28.6083713958239,-80.6041699424816,0.0568991143126041,0.000423541311918511,1,864873.496973887,1.5292480244692,100,359.918959675335,0.0119507296081187,83.0133638092335,6.92609055574955,4.20881779175483,407.885771141775,4.17800573616869,0.494842286134296,28.6084527454904,0.997341077910347,
1.39999999926658,28.6083749020565,-80.6041699557273,0.060111519488506,0.00081287299625253,1,864873.496973887,1.53377552825669,100,359.863282943014,0.0200553585436371,83.0676861315293,6.84539179190697,7.316035667933,407.927014588372,7.26381898293837,0.847693479262178,28.6086152559232,0.997341103769838,
1.99999999895226,28.6083804553419,-80.6041700174662,0.0652558006448671,0.00143005014988666,1,864873.496973887,1.5361953865945,100,359.705185211189,0.0695016794388516,83.1541996690191,6.79980539146143,10.3113377685867,407.980016536724,10.340560530792,1.20934366183514,28.608861305174,0.997341250294873,
2.59999999863794,28.6083879616726,-80.6041701667536,0.0722481245491654,0.00226455522355669,1,864873.496973887,1.53941332181449,100,359.201834353501,0.117940266041232,83.195898293519,6.76660716270688,13.4319596437774,408.054456164842,13.3382510842523,1.55942624530703,28.6091797514137,0.997341439515136,
3.1799999983341,28.6083970628746,-80.6041703997797,0.0807916482817382,0.00327658388777336,1,864873.496973887,1.54291885756284,100,358.796040505871,0.154789213018175,83.22910937513,6.70936347666285,16.4998033001222,408.153798755885,16.3865717522983,1.90554885746335,28.6095723700524,0.9973415901176,
3.75999999803025,28.6084079565872,-80.6041706667588,0.0911211757473648,0.00448806303581191,1,864873.496973887,1.54925248953069,100,358.616857413696,0.145255252407546,83.2861180800319,6.63206825616761,19.6432209719112,408.294949802475,19.5115469028697,2.24715754952474,28.6100355243792,0.997341539225365,
4.27999999775784,28.6084192251097,-80.6041708989494,0.101935436828993,0.00574123145303585,1,864873.496973887,1.5553861687058,100,358.86529764622,0.119052787679943,83.3645947059425,6.55085517597155,22.5111921230536,408.447221710185,22.3638407916853,2.55997548801302,28.6105069028601,0.997341458493075,
4.81999999747495,28.6084324051204,-80.6041711449707,0.114750447220169,0.007206962251351,1,864873.496973887,1.56398569354067,100,359.078095933308,0.0974700076446492,83.4461057396401,6.45940218702497,25.5524771284997,408.621873272664,25.3897917455379,2.8674957979087,28.6110490028733,0.997341484927718,
5.35999999719206,28.6084470653529,-80.6041714503489,0.129218554916792,0.00890086089505557,1,864873.496973887,1.57563659139698,100,359.052602766631,0.111115386182678,83.5377980784097,6.35999089555683,28.7786338243746,408.820578550311,28.6010939155614,3.16952173095905,28.6116637768568,0.997341657350118,
5.89999999690917,28.608463177531,-80.6041718154692,0.145370958100073,0.0106987070222045,1,864873.496973887,1.58874663566337,100,358.85489908508,0.134724341685833,83.6358018494887,6.25780837454634,31.9446603029274,409.050284614074,31.7537149985656,3.46582836499836,28.6123036960437,0.997341693061353,
6.43999999662628,28.6084807129705,-80.6041721565274,0.163243799982592,0.0125793984389814,1,864873.496973887,1.60214572125482,100,358.861089008354,0.128468266868816,83.7364616121678,6.150185287483,35.1869261309105,409.33384736719,34.9836909176944,3.75525459655245,28.6129841349731,0.99734142635658,
7.03999999631196,28.6085018236126,-80.60417239882,0.185168103004806,0.0149268915626275,1,864873.496973887,1.61468079980987,100,359.208298493302,0.0798673972952335,83.8428070443965,6.0250687372595,38.7480502486262,409.68560921457,38.532838609402,4.06776001651905,28.6137800924931,0.997340976752562,
7.65999999598716,28.6085253726755,-80.6041730725032,0.210152401706204,0.017546118045264,1,864873.496973887,1.62823605929868,100,359.683198414112,1.04179814993629,83.9666293885333,5.88722352235796,42.5802378198291,409.586924903411,42.3516878372404,4.3747667792877,28.6145873644373,0.997347214143983,
8.27999999566237,28.6085504999913,-80.6041762164385,0.237481779797003,0.0203463278959484,1,864873.496973887,1.63963459965547,100,352.744750795062,2.7750637050989,84.0633792800189,5.98238538322807,46.4428077848973,409.997347529214,46.2076728800027,4.64265944840391,28.6153605003674,0.997347291614667,
8.89999999533757,28.6085774274081,-80.6041738528441,0.267155458899215,0.0233348271168383,1,864873.496973887,1.65161234657726,100,354.878183932938,0.235939347236158,84.2485744561087,5.84146692211387,50.3357364859083,412.220741599781,50.0646251762993,5.02734556902662,28.616619147631,0.997324001942951,
9.51999999501277,28.6086068087796,-80.604164063216,0.299338330552913,0.0266060767808817,1,864873.496973887,1.66566973978712,100,14.8357555345086,-3.35471781962824,84.0192948921306,5.01184505939977,54.4217475494789,413.378426340711,54.1061949259334,5.56386556334118,28.618181864069,0.997315449745777,
10.139999994688,28.6086378996765,-80.604154312389,0.334073876421899,0.0300966001057797,1,864873.496973887,1.67456756742323,100,18.8222985399931,-4.94359301254753,83.8391248564675,4.33186131332976,58.4851471808535,413.243392273277,58.1997253074794,5.70622490852716,28.6186340370475,0.997324577334726,
10.7199999943841,28.6086666822165,-80.6041495631422,0.368794606596231,0.0333180849348163,1,864873.496973887,1.68661955125964,100,11.4329738106873,-4.17096785466492,84.3875280985541,4.33517742677142,62.2975261627023,412.884008876536,62.0634653029628,5.40896778531753,28.617818818028,0.997336745368137,
11.2999999940803,28.608694346496,-80.6041479782213,0.405675972815603,0.0363979489698087,1,864873.496973887,1.69671979357396,100,2.45880122524738,-2.55487505340639,85.0782546352724,4.78642409731998,66.2019800947477,413.257517799207,65.9988585238067,5.17584263503708,28.6171687020007,0.997339863927592,
