Time,Lat,Lng,Altitude,Dwnrg Dst,Stage,Mass,TWR,Throt,AZ(cmd),HAOA,Pitch,VAOA,Surfvel,Orbvel,Vspeed,Incl,Ecctr,
0.819999999570427,28.608373828631,-80.6041688469035,0.0578566712001339,0.000423974525130158,1,864873.496973887,1.53719933487961,100,0.321015807061451,-0.148237772145775,83.1063230244874,6.88421536643304,4.23381269560519,407.900062635652,4.20311976663884,28.6084552936734,0.997340894530263,
1.37999999927706,28.6083771913222,-80.6041687157447,0.0609551869882271,0.000797908112235429,1,864873.496973887,1.5424383798747,100,1.4487341742987,-0.241328571654565,83.0985613369257,6.80160157274081,7.16983909446321,407.962338547206,7.11904403806294,28.608605782448,0.997340609498457,
1.97999999896274,28.6083827052561,-80.6041684471377,0.0660932614756748,0.00141154938915857,1,864873.496973887,1.54834825884156,100,2.29793522667388,-0.283863083459591,83.182444163554,6.74235535830109,10.3385301047764,408.051595080387,10.2665340532518,28.6088499186147,0.997340318966334,
2.5599999986589,28.6083899046208,-80.6041680854111,0.0728629208775237,0.00221284697735751,1,864873.496973887,1.55279464304707,100,2.56708992420509,-0.292787684184984,83.2393667970711,6.68398502686453,13.4367286455618,408.157649947122,13.344779538958,28.6091655512923,0.99734009578052,
3.13999999835505,28.6083989269044,-80.6041676588776,0.0814305821880698,0.00321692460620741,1,864873.496973887,1.55728890187372,100,2.5465863568687,-0.275080923516634,83.298920311456,6.61720092647598,16.5817768636099,408.278774627061,16.4706193596661,28.6095567429984,0.997340003172142,
3.71999999805121,28.6084097515328,-80.6041672291506,0.0918191262381151,0.00442123980897234,1,864873.496973887,1.56317037277358,100,2.21251615577276,-0.227589799987167,83.3668465819344,6.54748892399554,19.7591693566938,408.416763602747,19.740049311146,28.6100365713871,0.997340023821832,
4.25999999776832,28.6084214271108,-80.604166825753,0.103150810373016,0.0057200173280353,1,864873.496973887,1.56741147349848,100,1.77692714650975,-0.190313529965026,83.4401006039512,6.47177374480678,22.7705874287558,408.578040686392,22.6246756337573,28.6105102659746,0.99733993742604,
4.79999999748543,28.6084346174311,-80.6041663568384,0.116113080133684,0.0071873791814151,1,864873.496973887,1.57549977944587,100,1.66894972866769,-0.193381588764071,83.5153064838941,6.38754290298107,25.8352932530354,408.780621629763,25.6739204596474,28.6110550543902,0.997339642508762,
5.33999999720254,28.6084492955619,-80.6041657938949,0.130744314911775,0.00882042221788539,1,864873.496973887,1.58324578763635,100,1.88664691844748,-0.212389128363897,83.5996672297132,6.29087837579969,28.9827419347894,409.008323607863,28.8070368351435,28.6116496461431,0.997339391988027,
5.87999999691965,28.6084654316569,-80.6041651721303,0.147084875680506,0.0106156898034989,1,864873.496973887,1.59381036497445,100,1.98201762260267,-0.215371610146843,83.6951231173587,6.18743878663982,32.2015949546806,409.255275767417,32.0126427422686,28.61228985913,0.997339275675631,
6.41999999663676,28.6084829938531,-80.6041645188603,0.165171477599069,0.012569542580442,1,864873.496973887,1.60540034456249,100,1.89186951497909,-0.199602301674169,83.7976009520409,6.08104832516472,35.4807212099072,409.533936973983,35.2794900701366,28.6129711258158,0.997339139605437,
7.03999999631196,28.6085048588947,-80.6041642659279,0.188127890289761,0.015000254160265,1,864873.496973887,1.61734206825801,100,1.8552954161094,0.961478435725071,83.9030949470992,5.940956228595,39.2673941893893,409.39138502016,39.0532484136469,28.613766333924,0.997345485544275,
7.65999999598716,28.6085283663033,-80.6041662952552,0.213410107653588,0.0176087226291208,1,864873.496973887,1.63148731431026,100,354.157173794084,2.72084561206428,84.0177833426205,6.02745875453588,43.1325596790854,409.839756329066,42.9107946248157,28.6145308902139,0.997344664284141,
8.27999999566237,28.6085537405097,-80.6041624589797,0.241037697209977,0.0204385029092718,1,864873.496973887,1.64444639283595,100,357.293347041789,0.059322278841269,84.1993769124698,5.82670672294761,47.0430252596875,412.084323238,46.7746538969544,28.6157225135876,0.99732071109003,
8.89999999533757,28.6085816542408,-80.6041507000383,0.271185407921672,0.0236009258016094,1,864873.496973887,1.65915241555707,100,18.5573371903413,-3.7008792931193,83.832339086503,4.90502932049884,51.149270476257,413.319646711574,50.8241253803305,28.6173230955614,0.9973107262961,
9.51999999501277,28.6086114356992,-80.6041385151875,0.303902109567076,0.0270098536831687,1,864873.496973887,1.67375329216254,100,23.0605595102641,-5.42585940573511,83.5477201204677,4.03888150313705,55.2285640615657,413.241072109684,54.936937623781,28.6178111332865,0.997318712495843,
10.139999994688,28.6086410661251,-80.6041308086087,0.339117959255353,0.0303701086490617,1,864873.496973887,1.68522661129093,100,16.4351455203699,-4.76025654026321,84.1649712537482,3.76462670612195,59.3171468109671,412.867312477646,59.0846474400368,28.6171457044075,0.997331202266865,
10.7199999943841,28.6086679130817,-80.6041270674181,0.37431608754769,0.0333776056903599,1,864873.496973887,1.69798864438959,100,7.25738532103917,-3.2977116440319,84.9738234993924,4.03592075020245,63.255207265496,413.08804392061,63.0506919637215,28.6167739131513,0.997336026199646,
11.2999999940803,28.6086950414444,-80.6041235621423,0.411747822703794,0.0364133326888942,1,864873.496973887,1.71089998298107,100,3.7339912422394,-2.33230912781732,85.4108999594245,4.62995478158218,67.2825244392906,414.036885580928,67.0716114757496,28.6174795323773,0.997331840217715,
11.8799999937764,28.6087236924432,-80.6041169288877,0.451518232456408,0.0396552686421834,1,864873.496973887,1.71824883912137,100,7.46611326300705,-2.52837286824581,85.4596551167398,4.83543746789264,71.3456414319926,415.482064134634,71.104552909683,28.6188529140464,0.997321580921081,
