alt,ve,vi
24.59169161,783.6503644,1102.531936
24.7536484,787.9681323,1107.13073
24.91619114,792.3010654,1111.747104
25.07931754,796.645109,1116.378414
25.24302536,801.0104369,1121.032346
25.40731393,805.3744872,1125.686741
25.57217943,809.758349,1130.364909
25.7376224,814.1614934,1135.055605
25.90364658,818.5752446,1139.755362
26.07025128,823.0077979,1144.473733
26.23743772,827.4554276,1149.206999
26.40520569,831.9204341,1153.959248
26.57355266,836.393452,1158.721253
26.74247508,840.8770739,1163.497856
26.91197156,845.366336,1168.27614
27.08204318,849.8604072,1173.053567
27.25269093,854.3641398,1177.841393
27.42391257,858.882245,1182.643518
27.59570823,863.4208635,1187.46844
27.76807572,867.960441,1192.29498
27.94101101,872.5061448,1197.13207
28.11450759,877.0337846,1201.950017
28.28856211,881.5549127,1206.756506
28.46317262,886.0584045,1211.544409
28.63833542,890.5659418,1216.337278
28.81404664,895.0731495,1221.129952
28.99030273,899.5858548,1225.931081
29.16710073,904.1293513,1230.767494
29.34444056,908.6955638,1235.623886
29.52232505,913.2646718,1240.478404
29.70075598,917.8441581,1245.341032
29.87973134,922.4240135,1250.205224
30.05924642,927.0003729,1255.066036
30.23929782,931.5799204,1259.932063
30.41988089,936.1572855,1264.795869
30.60099309,940.7490545,1269.677504
30.78263094,945.3600547,1274.578232
30.96479538,949.9556633,1279.457197
31.14748761,954.5680223,1284.350752
31.33070489,959.1740507,1289.240292
31.51444294,963.7881031,1294.137964
31.69869754,968.381297,1299.016996
31.8834579,972.9556021,1303.881346
32.06871838,977.5347693,1308.747099
32.25448078,982.1161934,1313.610696
32.4407467,986.7094478,1318.485199
32.62751407,991.3035362,1323.361319
32.81477865,995.9103143,1328.252151
33.00253693,1000.513712,1333.138914
33.19078552,1005.123142,1338.033925
33.3795196,1009.713335,1342.907874
33.56873738,1014.300771,1347.774319
33.758437,1018.863879,1352.615905
33.94861137,1023.409621,1357.441803
34.13925176,1027.931321,1362.24411
34.33034981,1032.421041,1367.01557
34.52189819,1036.901539,1371.778047
34.71388821,1041.35862,1376.521251
34.90631156,1045.806162,1381.253621
35.09916592,1050.237491,1385.967164
35.29244854,1054.666468,1390.677104
35.48615891,1059.113156,1395.404432
35.68029489,1063.566267,1400.139327
35.8748535,1068.030608,1404.884894
36.06983356,1072.507346,1409.644901
36.26523204,1077.005172,1414.425408
36.46105182,1081.517331,1419.216299
36.65729648,1086.050611,1424.025707
36.85396732,1090.593,1428.843655
37.05106244,1095.138738,1433.664312
37.2485806,1099.702121,1438.502425
37.44651618,1104.229796,1443.307278
37.64485851,1108.720344,1448.072379
37.84360122,1113.145516,1452.768859
38.04273333,1117.498795,1457.39145
38.2422419,1121.778254,1461.940004
38.44211037,1125.980578,1466.413281
38.64232035,1130.09379,1470.798527
38.84284984,1134.108972,1475.091759
39.04367337,1138.012949,1479.273726
39.24477406,1141.803525,1483.338894
39.44613326,1145.453073,1487.261285
39.64772511,1148.953005,1491.035825
39.84951914,1152.287477,1494.648098
40.05148302,1155.450709,1498.090004
40.25358093,1158.434067,1501.361469
40.45577223,1161.240061,1504.453672
40.65803453,1163.847425,1507.343232
40.86033672,1166.258292,1510.037398
41.06264253,1168.469312,1512.534524
41.26491774,1170.518123,1514.872014
41.46713285,1172.445885,1517.094792
41.66925271,1174.28235,1519.241675
41.87124439,1176.035899,1521.30632
42.0731005,1177.715987,1523.29436
42.27481082,1179.337678,1525.223925
42.47636317,1180.903293,1527.099799
42.67774007,1182.420911,1528.933489
42.8789233,1183.893235,1530.724378
43.07990349,1185.31693,1532.464502
43.28067547,1186.682495,1534.142552
43.48123394,1187.9771,1535.745442
43.68157214,1189.199824,1537.272835
43.881682,1190.353269,1538.72807
44.08155528,1191.437623,1540.111818
44.28118265,1192.458803,1541.430426
44.48055595,1193.422192,1542.68933
44.67966755,1194.332567,1543.893374
44.87851053,1195.193572,1545.046258
45.07707853,1196.009557,1546.152395
45.275366,1196.786613,1547.217879
45.47336802,1197.526961,1548.245023
45.67108029,1198.236495,1549.239799
45.86849866,1198.918191,1550.205226
46.06562,1199.576421,1551.145785
46.26248378,1201.432877,1553.267475
46.44520399,1202.317932,1554.405274
46.64172809,1203.282553,1555.650544
46.83798827,1204.251673,1556.896229
47.03399562,1205.224133,1558.139016
47.22976117,1206.200065,1559.380128
47.42529213,1207.178097,1560.620138
47.6205913,1208.160092,1561.862343
47.81565951,1209.146485,1563.107716
